depth,sulfate
83.857,71.02
83.921,54.85
84.053,71.65
84.115,59.64
84.181,53.76
84.285,56.25
84.371,62.36
84.455,63.29
84.571,56.87
84.671,69.2
84.745,79.44
84.883,79.49
84.937,64.55
85.023,56.2
85.087,72.2
85.171,78.4
85.251,63.95
85.319,71.24
85.375,64.68
85.473,58.69
85.529,50.13
85.615,84.49
85.673,44.24
85.781,87.53
85.865,44.09
85.919,80.53
85.975,68.51
86.049,63.57
86.091,71.74
86.173,51.72
86.257,52.51
86.347,60.76
86.421,46.47
86.519,94.33
86.579,90.01
86.657,80.8
86.721,52.41
86.785,78.47
86.855,62.93
86.957,54.51
87.081,80.42
87.129,75.02
87.193,54.83
87.265,75.05
87.353,80.9
87.439,51.24
87.525,50.77
87.593,41.53
87.717,50.54
87.801,53.07
87.899,89.38
87.989,68.54
88.075,49.96
88.165,51.4
88.227,58.33
88.301,58.51
88.343,78.7
88.405,69.77
88.453,63.86
88.523,69.16
88.631,124.84
88.727,132.01
88.791,73.67
88.857,66.29
88.935,58.25
89.057,60.46
89.131,57.14
89.229,67.2
89.281,59.63
89.353,86.58
89.391,94.67
89.473,104.47
89.541,59.49
89.617,55.32
89.703,45.03
89.795,75.12
89.829,48.34
89.977,57.5
90.051,54.24
90.113,59.92
90.175,47.0
90.255,42.31
90.335,70.5
90.387,75.19
90.435,63.96
90.519,77.89
90.583,69.52
90.675,53.16
90.729,71.17
90.803,74.25
90.861,64.6
90.939,75.43
90.991,61.31
91.071,102.88
91.111,86.4
91.211,72.86
91.293,60.24
91.369,70.82
91.479,62.74
91.575,69.51
91.643,58.49
91.689,62.89
91.763,59.51
91.841,55.65
91.915,56.15
91.965,59.14
92.025,59.3
92.065,58.38
92.151,89.74
92.235,115.37
92.283,52.92
92.333,55.51
92.407,60.88
92.537,82.8
92.615,59.7
92.655,73.13
92.699,63.62
92.767,63.56
92.845,65.23
92.915,66.29
92.953,96.33
92.991,73.85
93.037,57.15
93.097,90.5
93.168,67.8
93.226,111.34
93.312,97.42
93.382,61.38
93.446,64.51
93.51,50.59
93.564,46.22
93.592,67.75
93.652,58.57
93.704,45.15
93.796,39.38
93.858,61.4
93.92,61.35
93.994,68.37
94.038,60.92
94.088,76.92
94.148,58.04
94.232,68.64
94.344,123.46
94.396,103.29
94.486,69.02
94.572,63.91
94.624,70.62
94.666,47.15
94.774,61.56
94.842,47.46
94.934,55.14
94.984,98.5
95.042,112.26
95.078,85.49
95.152,57.57
95.209,61.86
95.283,68.75
95.345,71.5
95.405,86.42
95.476,43.01
95.546,49.77
95.617,69.95
95.687,68.75
95.758,53.0
95.828,75.75
95.898,73.33
95.969,83.51
96.039,65.22
96.109,90.92
96.14,50.91
96.18,63.6
96.25,58.28
96.32,63.95
96.391,55.22
96.461,61.85
96.531,49.06
96.601,106.5
96.672,92.93
96.742,78.22
96.812,67.84
96.882,61.82
96.952,57.57
97.023,54.21
97.093,59.0
97.163,64.74
97.233,88.64
97.303,78.99
97.373,72.83
97.443,61.87
97.513,64.25
97.583,63.04
97.653,89.64
97.723,52.09
97.793,75.45
97.863,58.45
97.933,55.22
98.003,73.57
98.073,54.0
98.143,58.2
98.213,78.45
98.283,92.26
98.353,61.52
98.423,54.37
98.493,75.95
98.562,100.25
98.632,96.98
98.702,71.09
98.772,62.3
98.842,43.84
98.912,55.15
98.981,49.59
99.051,104.2
99.121,86.45
99.191,72.72
99.26,46.0
99.33,36.63
99.4,71.15
99.469,59.96
99.539,68.55
99.609,50.37
99.678,66.4
99.748,76.22
99.818,73.86
99.887,79.31
99.957,102.43
100.027,59.51
100.096,61.81
100.166,58.66
100.235,73.56
100.305,61.41
100.374,67.83
100.444,81.91
100.513,84.82
100.583,82.06
100.652,93.26
100.722,98.99
100.791,47.27
100.861,39.94
100.93,59.14
101.0,62.03
101.069,59.2
101.138,54.91
101.208,58.61
101.277,77.8
101.347,118.37
101.416,97.47
101.485,62.15
101.555,88.35
101.624,117.46
101.693,107.3
101.763,100.95
101.832,84.24
101.901,74.88
101.97,79.14
102.04,56.87
102.109,58.09
102.178,78.48
102.247,64.77
102.317,60.3
102.386,59.07
102.455,62.23
102.524,65.29
102.593,67.88
102.663,47.73
102.732,54.96
102.801,65.44
102.87,81.97
102.939,57.89
103.008,87.81
103.077,60.06
103.146,61.21
103.215,64.76
103.285,50.31
103.354,54.13
103.423,51.62
103.492,61.14
103.561,46.48
103.63,66.83
103.699,51.52
103.768,75.19
103.837,47.2
103.906,68.04
103.975,50.79
104.044,64.93
104.112,114.93
104.181,115.79
104.25,61.54
104.319,58.04
104.388,55.99
104.457,66.82
104.526,50.07
104.595,57.38
104.664,79.64
104.733,81.03
104.801,75.77
104.87,51.33
104.939,59.39
105.008,74.87
105.077,52.94
105.145,76.43
105.214,58.81
105.283,76.74
105.352,63.9
105.42,62.83
105.489,78.14
105.558,77.52
105.627,69.63
105.695,65.59
105.764,72.13
105.833,57.24
105.902,58.45
105.97,60.25
106.039,82.84
106.108,60.09
106.176,55.03
106.245,58.54
106.313,63.9
106.382,62.51
106.451,73.61
106.519,50.26
106.588,50.3
106.656,60.52
106.725,59.51
106.794,34.78
106.862,47.96
106.931,67.06
106.999,66.14
107.068,48.42
107.136,56.38
107.205,45.24
107.273,65.73
107.342,62.65
107.41,52.32
107.479,56.5
107.547,54.61
107.616,68.83
107.684,58.85
107.753,53.1
107.821,63.04
107.89,54.42
107.958,90.88
108.026,78.99
108.095,60.27
108.163,52.32
108.232,44.99
108.3,49.27
108.368,49.64
108.437,50.91
108.505,67.93
108.573,67.39
108.642,74.2
108.71,52.59
108.778,72.87
108.847,73.29
108.915,99.19
108.983,134.59
109.052,96.02
109.12,48.33
109.188,57.59
109.256,72.17
109.325,71.52
109.393,63.43
109.461,57.34
109.529,56.91
109.598,78.89
109.666,66.86
109.734,73.37
109.802,77.22
109.87,55.52
109.939,56.08
110.007,65.36
110.075,91.92
110.143,61.96
110.211,57.01
110.279,66.38
110.348,58.64
110.416,50.96
110.484,78.89
110.552,34.16
110.62,52.53
110.688,72.82
110.756,78.46
110.824,125.94
110.892,92.02
110.961,85.25
111.029,64.94
111.097,50.8
111.165,171.7
111.233,101.01
111.301,70.19
111.369,90.49
111.437,88.7
111.505,69.07
111.573,62.83
111.641,62.24
111.709,56.84
111.777,71.77
111.845,78.32
111.913,63.38
112.049,83.45
112.117,78.92
112.185,72.82
112.253,91.19
112.32,98.31
112.388,93.6
112.456,67.87
112.524,66.45
112.592,86.67
112.66,61.5
112.728,63.78
112.796,76.16
112.864,57.26
112.932,80.84
112.999,78.33
113.067,91.83
113.135,168.95
113.203,153.21
113.271,232.07
113.339,308.7
113.406,82.2
113.474,49.78
113.542,88.93
113.61,51.67
113.678,59.69
113.745,71.89
113.813,40.48
113.881,55.83
113.949,50.24
114.017,62.26
114.084,66.64
114.152,54.19
114.22,45.87
114.288,47.21
114.355,63.25
114.423,58.69
114.491,67.67
114.558,79.26
114.626,47.5
114.694,81.38
114.762,78.26
114.829,41.23
114.897,57.33
114.965,64.51
115.032,64.63
115.1,75.48
115.168,57.66
115.235,53.13
115.303,53.52
115.371,82.43
115.438,116.63
115.506,55.57
115.573,77.51
115.641,49.31
115.709,41.74
115.776,61.78
115.844,104.29
115.911,63.38
115.979,75.33
116.047,77.62
116.114,64.3
116.182,80.51
116.249,90.64
116.317,58.2
116.384,57.13
116.452,68.53
116.52,54.66
116.587,75.61
116.655,74.0
116.722,139.29
116.79,135.6
116.857,86.04
116.925,65.38
116.992,57.84
117.06,68.03
117.127,65.04
117.195,51.86
117.262,76.66
117.33,63.67
117.397,62.07
117.465,63.28
117.532,54.74
117.599,41.27
117.667,43.31
117.734,62.7
117.802,61.12
117.869,48.51
117.937,57.95
118.004,44.87
118.071,54.9
118.139,55.63
118.206,80.25
118.274,67.47
118.341,61.83
118.408,101.49
118.476,66.06
118.543,64.53
118.611,61.24
118.678,55.75
118.745,44.17
118.813,31.7
118.88,69.59
118.947,92.26
119.015,110.18
119.082,56.23
119.217,58.43
119.284,59.85
119.351,54.93
119.419,71.36
119.486,57.05
119.553,71.69
119.621,122.26
119.688,98.92
119.755,61.97
119.822,81.34
119.89,66.25
119.957,49.73
120.024,59.3
120.092,72.18
120.159,68.92
120.226,62.36
120.293,45.47
120.361,85.91
120.428,112.66
120.495,172.23
120.562,344.15
120.629,231.75
120.697,61.12
120.764,72.48
120.831,66.0
120.898,57.49
120.966,46.01
121.033,48.39
121.1,46.73
121.167,45.36
121.234,59.11
121.301,51.12
121.369,60.44
121.436,62.28
121.503,55.09
121.57,50.13
121.637,43.14
121.704,30.28
121.772,56.8
121.839,52.04
121.906,53.76
121.973,61.46
122.04,35.44
122.107,49.0
122.174,40.9
122.242,55.46
122.309,44.74
122.376,54.24
122.443,75.88
122.51,60.97
122.577,78.59
