depth	LID	rel_unc
351	50.12	0.2
352	50.1	0.2
353	50.09	0.2
354	50.07	0.2
355	50.05	0.2
356	50.03	0.2
357	50.01	0.2
358	49.99	0.2
359	49.97	0.2
360	49.95	0.2
361	49.92	0.2
362	49.9	0.2
363	49.88	0.2
364	49.86	0.2
365	49.84	0.2
366	49.82	0.2
367	49.8	0.2
368	49.78	0.2
369	49.76	0.2
370	49.74	0.2
371	49.73	0.2
372	49.72	0.2
373	49.7	0.2
374	49.69	0.2
375	49.68	0.2
376	49.67	0.2
377	49.66	0.2
378	49.66	0.2
379	49.65	0.2
380	49.64	0.2
381	49.64	0.2
382	49.64	0.2
383	49.64	0.2
384	49.64	0.2
385	49.64	0.2
386	49.64	0.2
387	49.65	0.2
388	49.65	0.2
389	49.66	0.2
390	49.67	0.2
391	49.68	0.2
392	49.69	0.2
393	49.7	0.2
394	49.72	0.2
395	49.73	0.2
396	49.75	0.2
397	49.76	0.2
398	49.78	0.2
399	49.8	0.2
400	49.81	0.2
401	49.83	0.2
402	49.85	0.2
403	49.86	0.2
404	49.87	0.2
405	49.89	0.2
406	49.9	0.2
407	49.91	0.2
408	49.92	0.2
409	49.93	0.2
410	49.94	0.2
411	49.94	0.2
412	49.95	0.2
413	49.95	0.2
414	49.96	0.2
415	49.96	0.2
416	49.96	0.2
417	49.96	0.2
418	49.96	0.2
419	49.96	0.2
420	49.95	0.2
421	49.95	0.2
422	49.95	0.2
423	49.94	0.2
424	49.93	0.2
425	49.93	0.2
426	49.92	0.2
427	49.91	0.2
428	49.91	0.2
429	49.9	0.2
430	49.89	0.2
431	49.88	0.2
432	49.87	0.2
433	49.86	0.2
434	49.85	0.2
435	49.83	0.2
436	49.82	0.2
437	49.81	0.2
438	49.8	0.2
439	49.79	0.2
440	49.78	0.2
441	49.78	0.2
442	49.77	0.2
443	49.77	0.2
444	49.76	0.2
445	49.76	0.2
446	49.76	0.2
447	49.76	0.2
448	49.77	0.2
449	49.77	0.2
450	49.78	0.2
451	49.79	0.2
452	49.8	0.2
453	49.81	0.2
454	49.82	0.2
455	49.83	0.2
456	49.84	0.2
457	49.84	0.2
458	49.85	0.2
459	49.86	0.2
460	49.87	0.2
461	49.87	0.2
462	49.87	0.2
463	49.88	0.2
464	49.88	0.2
465	49.88	0.2
466	49.88	0.2
467	49.87	0.2
468	49.87	0.2
469	49.87	0.2
470	49.86	0.2
471	49.86	0.2
472	49.85	0.2
473	49.85	0.2
474	49.84	0.2
475	49.84	0.2
476	49.83	0.2
477	49.82	0.2
478	49.81	0.2
479	49.8	0.2
480	49.8	0.2
481	49.79	0.2
482	49.78	0.2
483	49.76	0.2
484	49.75	0.2
485	49.74	0.2
486	49.73	0.2
487	49.72	0.2
488	49.71	0.2
489	49.7	0.2
490	49.68	0.2
491	49.67	0.2
492	49.66	0.2
493	49.65	0.2
494	49.64	0.2
495	49.63	0.2
496	49.62	0.2
497	49.61	0.2
498	49.6	0.2
499	49.59	0.2
500	49.58	0.2
501	49.57	0.2
502	49.57	0.2
503	49.56	0.2
504	49.55	0.2
505	49.54	0.2
506	49.53	0.2
507	49.53	0.2
508	49.52	0.2
509	49.51	0.2
510	49.51	0.2
511	49.5	0.2
512	49.49	0.2
513	49.49	0.2
514	49.48	0.2
515	49.48	0.2
516	49.47	0.2
517	49.46	0.2
518	49.46	0.2
519	49.45	0.2
520	49.45	0.2
521	49.44	0.2
522	49.44	0.2
523	49.43	0.2
524	49.43	0.2
525	49.42	0.2
526	49.42	0.2
527	49.42	0.2
528	49.41	0.2
529	49.41	0.2
530	49.41	0.2
531	49.41	0.2
532	49.41	0.2
533	49.41	0.2
534	49.41	0.2
535	49.41	0.2
536	49.41	0.2
537	49.41	0.2
538	49.41	0.2
539	49.41	0.2
540	49.42	0.2
541	49.42	0.2
542	49.42	0.2
543	49.42	0.2
544	49.42	0.2
545	49.42	0.2
546	49.42	0.2
547	49.42	0.2
548	49.42	0.2
549	49.42	0.2
550	49.42	0.2
551	49.42	0.2
552	49.42	0.2
553	49.42	0.2
554	49.42	0.2
555	49.42	0.2
556	49.42	0.2
557	49.42	0.2
558	49.42	0.2
559	49.42	0.2
560	49.43	0.2
561	49.43	0.2
562	49.43	0.2
563	49.44	0.2
564	49.44	0.2
565	49.45	0.2
566	49.45	0.2
567	49.46	0.2
568	49.46	0.2
569	49.46	0.2
570	49.47	0.2
571	49.47	0.2
572	49.47	0.2
573	49.47	0.2
574	49.47	0.2
575	49.47	0.2
576	49.47	0.2
577	49.47	0.2
578	49.47	0.2
579	49.47	0.2
580	49.47	0.2
581	49.46	0.2
582	49.46	0.2
583	49.46	0.2
584	49.45	0.2
585	49.45	0.2
586	49.45	0.2
587	49.44	0.2
588	49.44	0.2
589	49.44	0.2
590	49.43	0.2
591	49.43	0.2
592	49.42	0.2
593	49.42	0.2
594	49.41	0.2
595	49.41	0.2
596	49.4	0.2
597	49.4	0.2
598	49.39	0.2
599	49.38	0.2
600	49.37	0.2
601	49.37	0.2
602	49.36	0.2
603	49.35	0.2
604	49.35	0.2
605	49.34	0.2
606	49.33	0.2
607	49.33	0.2
608	49.32	0.2
609	49.32	0.2
610	49.31	0.2
611	49.31	0.2
612	49.31	0.2
613	49.31	0.2
614	49.31	0.2
615	49.31	0.2
616	49.31	0.2
617	49.31	0.2
618	49.31	0.2
619	49.31	0.2
620	49.31	0.2
621	49.32	0.2
622	49.32	0.2
623	49.32	0.2
624	49.32	0.2
625	49.32	0.2
626	49.33	0.2
627	49.33	0.2
628	49.33	0.2
629	49.33	0.2
630	49.33	0.2
631	49.32	0.2
632	49.32	0.2
633	49.32	0.2
634	49.31	0.2
635	49.31	0.2
636	49.3	0.2
637	49.3	0.2
638	49.29	0.2
639	49.28	0.2
640	49.27	0.2
641	49.26	0.2
642	49.25	0.2
643	49.23	0.2
644	49.22	0.2
645	49.21	0.2
646	49.2	0.2
647	49.19	0.2
648	49.17	0.2
649	49.16	0.2
650	49.16	0.2
651	49.15	0.2
652	49.14	0.2
653	49.13	0.2
654	49.13	0.2
655	49.13	0.2
656	49.13	0.2
657	49.13	0.2
658	49.13	0.2
659	49.13	0.2
660	49.14	0.2
661	49.14	0.2
662	49.15	0.2
663	49.16	0.2
664	49.17	0.2
665	49.18	0.2
666	49.19	0.2
667	49.2	0.2
668	49.21	0.2
669	49.22	0.2
670	49.24	0.2
671	49.25	0.2
672	49.27	0.2
673	49.28	0.2
674	49.29	0.2
675	49.31	0.2
676	49.32	0.2
677	49.33	0.2
678	49.34	0.2
679	49.35	0.2
680	49.36	0.2
681	49.37	0.2
682	49.37	0.2
683	49.37	0.2
684	49.38	0.2
685	49.38	0.2
686	49.38	0.2
687	49.37	0.2
688	49.37	0.2
689	49.36	0.2
690	49.36	0.2
691	49.35	0.2
692	49.34	0.2
693	49.33	0.2
694	49.32	0.2
695	49.31	0.2
696	49.3	0.2
697	49.29	0.2
698	49.28	0.2
699	49.27	0.2
700	49.26	0.2
701	49.25	0.2
702	49.25	0.2
703	49.24	0.2
704	49.23	0.2
705	49.22	0.2
706	49.22	0.2
707	49.21	0.2
708	49.2	0.2
709	49.2	0.2
710	49.19	0.2
711	49.19	0.2
712	49.18	0.2
713	49.18	0.2
714	49.17	0.2
715	49.17	0.2
716	49.16	0.2
717	49.16	0.2
718	49.15	0.2
719	49.15	0.2
720	49.14	0.2
721	49.14	0.2
722	49.13	0.2
723	49.13	0.2
724	49.12	0.2
725	49.12	0.2
726	49.11	0.2
727	49.11	0.2
728	49.1	0.2
729	49.1	0.2
730	49.09	0.2
731	49.09	0.2
732	49.08	0.2
733	49.08	0.2
734	49.07	0.2
735	49.07	0.2
736	49.06	0.2
737	49.06	0.2
738	49.06	0.2
739	49.06	0.2
740	49.05	0.2
741	49.05	0.2
742	49.05	0.2
743	49.05	0.2
744	49.05	0.2
745	49.05	0.2
746	49.05	0.2
747	49.05	0.2
748	49.05	0.2
749	49.05	0.2
750	49.05	0.2
751	49.05	0.2
752	49.05	0.2
753	49.05	0.2
754	49.05	0.2
755	49.05	0.2
756	49.04	0.2
757	49.04	0.2
758	49.04	0.2
759	49.03	0.2
760	49.03	0.2
761	49.02	0.2
762	49.02	0.2
763	49.01	0.2
764	49.01	0.2
765	49.0	0.2
766	48.99	0.2
767	48.99	0.2
768	48.98	0.2
769	48.97	0.2
770	48.97	0.2
771	48.96	0.2
772	48.95	0.2
773	48.95	0.2
774	48.94	0.2
775	48.94	0.2
776	48.93	0.2
777	48.93	0.2
778	48.93	0.2
779	48.93	0.2
780	48.93	0.2
781	48.93	0.2
782	48.93	0.2
