depth	thinning	rel_unc
321	0.8805	0.01761
322	0.8802	0.017604
323	0.8798	0.017596
324	0.8794	0.017588
325	0.8791	0.017582
326	0.8787	0.017574000000000003
327	0.8783	0.017566
328	0.8779	0.017558
329	0.8776	0.017552
330	0.8772	0.017544
331	0.8768	0.017536
332	0.8764	0.017528
333	0.8761	0.017522
334	0.8757	0.017514000000000002
335	0.8754	0.017508
336	0.8751	0.017502
337	0.8748	0.017496
338	0.8744	0.017488
339	0.8741	0.017482
340	0.8737	0.017474
341	0.8734	0.017468
342	0.8731	0.017462000000000002
343	0.8727	0.017454
344	0.8723	0.017446
345	0.872	0.01744
346	0.8716	0.017432
347	0.8713	0.017426
348	0.8709	0.017418
349	0.8706	0.017412
350	0.8703	0.017406
351	0.87	0.0174
352	0.8697	0.017394
353	0.8694	0.017388
354	0.8691	0.017382
355	0.8688	0.017376
356	0.8685	0.01737
357	0.8681	0.017362
358	0.8677	0.017354
359	0.8673	0.017346
360	0.8668	0.017336
361	0.8663	0.017326
362	0.8658	0.017316
363	0.8652	0.017304
364	0.8646	0.017292000000000002
365	0.864	0.01728
366	0.8634	0.017268
367	0.8629	0.017258
368	0.8623	0.017246
369	0.8619	0.017238
370	0.8614	0.017228
371	0.861	0.01722
372	0.8606	0.017212
373	0.8603	0.017206
374	0.86	0.0172
375	0.8597	0.017194
376	0.8594	0.017188000000000002
377	0.8591	0.017182
378	0.8588	0.017176
379	0.8585	0.01717
380	0.8581	0.017162
381	0.8578	0.017156
382	0.8575	0.017150000000000002
383	0.8571	0.017142
384	0.8568	0.017136000000000002
385	0.8564	0.017128
386	0.856	0.01712
387	0.8557	0.017114
388	0.8553	0.017106
389	0.8549	0.017098
390	0.8545	0.01709
391	0.854	0.01708
392	0.8536	0.017072
393	0.8531	0.017062
394	0.8526	0.017052
395	0.8522	0.017044
396	0.8517	0.017034
397	0.8513	0.017026
398	0.8509	0.017018000000000002
399	0.8505	0.01701
400	0.8502	0.017004
401	0.8498	0.016996
402	0.8495	0.01699
403	0.8492	0.016984
404	0.849	0.01698
405	0.8487	0.016974
406	0.8485	0.016970000000000002
407	0.8481	0.016962
408	0.8477	0.016954
409	0.8473	0.016946000000000003
410	0.8468	0.016936
411	0.8462	0.016923999999999998
412	0.8457	0.016914000000000002
413	0.8451	0.016902
414	0.8444	0.016888
415	0.8438	0.016876
416	0.8432	0.016864
417	0.8427	0.016854
418	0.8423	0.016846
419	0.8419	0.016838
420	0.8416	0.016832
421	0.8414	0.016828000000000003
422	0.8412	0.016824
423	0.8411	0.016822
424	0.8411	0.016822
425	0.8411	0.016822
426	0.8411	0.016822
427	0.8409	0.016818
428	0.8407	0.016814
429	0.8403	0.016806
430	0.8399	0.016798
431	0.8394	0.016788
432	0.8388	0.016776
433	0.8382	0.016763999999999998
434	0.8374	0.016748000000000002
435	0.8367	0.016734
436	0.836	0.01672
437	0.8354	0.016708
438	0.8347	0.016694
439	0.8342	0.016684
440	0.8336	0.016672
441	0.8331	0.016662
442	0.8327	0.016654
443	0.8323	0.016646
444	0.8319	0.016638
445	0.8315	0.01663
446	0.8312	0.016624
447	0.8308	0.016616
448	0.8304	0.016608
449	0.8301	0.016602
450	0.8297	0.016594
451	0.8293	0.016586
452	0.8289	0.016578
453	0.8286	0.016572
454	0.8282	0.016564000000000002
455	0.8278	0.016556
456	0.8274	0.016548
457	0.827	0.01654
458	0.8266	0.016532
459	0.8261	0.016522
460	0.8257	0.016514
461	0.8252	0.016504
462	0.8247	0.016494
463	0.8241	0.016482
464	0.8236	0.016472
465	0.8231	0.016462
466	0.8227	0.016454
467	0.8223	0.016446000000000002
468	0.8219	0.016438
469	0.8216	0.016432
470	0.8211	0.016422000000000003
471	0.8208	0.016416
472	0.8205	0.01641
473	0.8203	0.016406
474	0.8201	0.016402
475	0.8198	0.016396
476	0.8196	0.016392
477	0.8193	0.016386
478	0.819	0.01638
479	0.8186	0.016372
480	0.8183	0.016366000000000002
481	0.8178	0.016356
482	0.8174	0.016348
483	0.8169	0.016338
484	0.8164	0.016328000000000002
485	0.8159	0.016318
486	0.8155	0.01631
487	0.815	0.0163
488	0.8146	0.016292
489	0.8143	0.016286000000000002
490	0.8139	0.016278
491	0.8136	0.016272000000000002
492	0.8133	0.016266
493	0.8131	0.016262000000000002
494	0.8128	0.016256
495	0.8126	0.016252
496	0.8123	0.016246
497	0.8121	0.016242
498	0.8118	0.016236
499	0.8115	0.01623
500	0.8112	0.016224000000000002
501	0.8108	0.016216
502	0.8104	0.016208
503	0.81	0.016200000000000003
504	0.8096	0.016192
505	0.8092	0.016184
506	0.8088	0.016176
507	0.8084	0.016168000000000002
508	0.808	0.01616
509	0.8075	0.01615
510	0.8071	0.016142
511	0.8067	0.016134
512	0.8063	0.016126
513	0.8058	0.016116
514	0.8054	0.016108
515	0.805	0.0161
516	0.8045	0.01609
517	0.8041	0.016082000000000003
518	0.8036	0.016072
519	0.8031	0.016062
520	0.8026	0.016052
521	0.8022	0.016044
522	0.8017	0.016034
523	0.8012	0.016024
524	0.8008	0.016016
525	0.8004	0.016008
526	0.7999	0.015998000000000002
527	0.7995	0.01599
528	0.7991	0.015982
529	0.7987	0.015974
530	0.7982	0.015964
531	0.7978	0.015955999999999998
532	0.7974	0.015948
533	0.797	0.015940000000000003
534	0.7965	0.01593
535	0.7961	0.015922000000000002
536	0.7956	0.015912
537	0.7952	0.015904
538	0.7947	0.015894
539	0.7942	0.015884000000000002
540	0.7938	0.015875999999999998
541	0.7933	0.015866
542	0.7929	0.015858
543	0.7925	0.01585
544	0.7921	0.015842000000000002
545	0.7917	0.015834
546	0.7914	0.015828000000000002
547	0.7911	0.015822
548	0.7907	0.015813999999999998
549	0.7905	0.01581
550	0.7902	0.015804000000000002
551	0.7899	0.015798
552	0.7895	0.01579
553	0.7892	0.015784
554	0.7888	0.015776
555	0.7885	0.01577
556	0.7881	0.015762
557	0.7877	0.015754
558	0.7873	0.015746
559	0.7868	0.015736
560	0.7864	0.015728
561	0.786	0.01572
562	0.7856	0.015712
563	0.7851	0.015702
564	0.7847	0.015694
565	0.7843	0.015686
566	0.7839	0.015678
567	0.7835	0.01567
568	0.7831	0.015662000000000002
569	0.7826	0.015652
570	0.7822	0.015644
571	0.7818	0.015636
572	0.7814	0.015628
573	0.781	0.01562
574	0.7806	0.015612
575	0.7802	0.015604
576	0.7799	0.015598
577	0.7795	0.01559
578	0.7791	0.015582
579	0.7787	0.015574
580	0.7784	0.015568
581	0.778	0.015560000000000001
582	0.7776	0.015552
583	0.7772	0.015544
584	0.7769	0.015538000000000001
585	0.7765	0.01553
586	0.7761	0.015522000000000001
587	0.7757	0.015514
588	0.7753	0.015506
589	0.7749	0.015498000000000001
590	0.7745	0.01549
591	0.7741	0.015482000000000001
592	0.7736	0.015472
593	0.7732	0.015464
594	0.7728	0.015456000000000001
595	0.7723	0.015446
596	0.7719	0.015438
597	0.7715	0.01543
598	0.7711	0.015422
599	0.7706	0.015411999999999999
600	0.7702	0.015404000000000001
601	0.7698	0.015396000000000002
602	0.7693	0.015386
603	0.7689	0.015378000000000001
604	0.7685	0.01537
605	0.768	0.01536
606	0.7676	0.015352
607	0.7671	0.015342
608	0.7667	0.015334000000000002
609	0.7663	0.015326
610	0.7658	0.015316000000000001
611	0.7654	0.015308
612	0.765	0.015300000000000001
613	0.7645	0.01529
614	0.7641	0.015282
615	0.7637	0.015274000000000001
