depth	age	age_unc	comment
137.325	513	2.0	
137.575	514	2.0	
137.775	515	2.0	
137.975	516	2.0	
138.175	517	2.0	
138.35	518	2.0	
138.6	519	2.0	
138.8	520	2.0	
139.025	521	2.0	
139.225	522	2.0	
139.45	523	2.0	
139.675	524	2.0	
139.875	525	2.0	
140.125	526	2.0	
140.3	527	2.0	
140.5	528	2.0	
140.7	529	2.0	
140.9	530	2.0	
141.125	531	2.0	
141.35	532	2.0	
141.575	533	2.0	
141.775	534	2.0	
142.025	535	2.0	
142.225	536	2.0	
142.425	537	2.0	
142.625	538	2.0	
142.9	539	2.0	
143.125	540	2.0	
143.35	541	2.0	
143.55	542	2.0	
143.825	543	2.0	
144.05	544	2.0	
144.25	545	2.0	
144.45	546	2.0	
144.675	547	2.0	
144.9	548	2.0	
145.15	549	2.0	
145.425	550	2.0	
145.625	551	2.0	
145.8	552	2.0	
146.025	553	2.0	
146.275	554	2.0	
146.475	555	2.0	
146.775	556	2.0	
147.0	557	2.0	
147.2	558	2.0	
147.425	559	2.0	
147.625	560	2.0	
147.875	561	2.0	
148.1	562	2.0	
148.3	563	2.0	
148.5	564	2.0	
148.725	565	2.0	
149.0	566	2.0	
149.225	567	2.0	
149.475	568	2.0	
149.675	569	2.0	
149.875	570	2.0	
150.2	571	2.0	
150.4	572	2.0	
150.6	573	2.0	
150.875	574	2.0	
151.1	575	2.0	
151.3	576	2.0	
151.65	577	2.0	
151.85	578	2.0	
152.025	579	2.0	
152.225	580	2.0	
152.55	581	2.0	
152.775	582	2.0	
153.0	583	2.0	
153.225	584	2.0	
153.475	585	2.0	
153.675	586	2.0	
153.925	587	2.0	
154.15	588	2.0	
154.375	589	2.0	
154.575	590	2.0	
154.8	591	2.0	
155.0	592	2.0	
155.3	593	2.0	
155.525	594	2.0	
155.725	595	2.0	
156.075	596	2.0	
156.325	597	2.0	
156.55	598	2.0	
156.775	599	2.0	
156.975	600	2.0	
157.2	601	2.0	
157.425	602	2.0	
157.625	603	2.0	
157.925	604	2.0	
158.175	605	2.0	
158.45	606	2.0	
158.7	607	2.0	
158.925	608	2.0	
159.15	609	2.0	
159.325	610	2.0	
159.55	611	2.0	
159.825	612	2.0	
160.0	613	2.0	
160.2	614	2.0	
160.4	615	2.0	
160.625	616	2.0	
160.925	617	2.0	
161.1	618	2.0	
161.3	619	2.0	
161.475	620	2.0	
161.675	621	2.0	
161.875	622	2.0	
162.05	623	2.0	
162.225	624	2.0	
162.4	625	2.0	
162.575	626	2.0	
162.925	627	2.0	
163.15	628	2.0	
163.35	629	2.0	
163.575	630	2.0	
163.8	631	2.0	
164.0	632	2.0	
164.2	633	2.0	
164.4	634	2.0	
164.575	635	2.0	
164.8	636	2.0	
165.025	637	2.0	
165.225	638	2.0	
165.425	639	2.0	
165.6	640	2.0	
165.825	641	2.0	
166.125	642	2.0	
166.325	643	2.0	
166.525	644	2.0	
166.7	645	2.0	
167.0	646	2.0	
167.225	647	2.0	
167.425	648	2.0	
167.625	649	2.0	
167.875	650	2.0	
168.075	651	2.0	
168.3	652	2.0	
168.5	653	2.0	
168.775	654	2.0	
169.025	655	2.0	
169.25	656	2.0	
169.45	657	2.0	
169.675	658	2.0	
169.85	659	2.0	
170.075	660	2.0	
170.3	661	2.0	
170.525	662	2.0	
170.85	663	2.0	
171.025	664	2.0	
171.25	665	2.0	
171.425	666	2.0	
171.625	667	2.0	
171.85	668	2.0	
172.05	669	2.0	
172.25	670	2.0	
172.45	671	2.0	
172.65	672	2.0	
172.875	673	2.0	
173.125	674	2.0	
173.35	675	2.0	
173.65	676	2.0	
173.875	677	2.0	
174.075	678	2.0	
174.25	679	2.0	
174.45	680	2.0	
174.65	681	2.0	
174.9	682	2.0	
175.125	683	2.0	
175.325	684	2.0	
175.525	685	2.0	
175.725	686	2.0	
175.975	687	2.0	
176.175	688	2.0	
176.375	689	2.0	
176.6	690	2.0	
176.8	691	2.0	
177.0	692	2.0	
177.2	693	2.0	
177.425	694	2.0	
177.675	695	2.0	
177.85	696	2.0	
178.025	697	2.0	
178.25	698	2.0	
178.45	699	2.0	
178.725	700	2.0	
179.0	701	2.0	
179.25	702	2.0	
179.4	703	2.0	
179.6	704	2.0	
179.8	705	2.0	
180.0	706	2.0	
180.175	707	2.0	
180.375	708	2.0	
180.55	709	2.0	
180.75	710	2.0	
180.925	711	2.0	
181.125	712	2.0	
181.325	713	2.0	
181.525	714	2.0	
181.775	715	2.0	
181.975	716	2.0	
182.175	717	2.0	
182.375	718	2.0	
182.575	719	2.0	
182.825	720	2.0	
183.05	721	2.0	
183.225	722	2.0	
183.45	723	2.0	
183.65	724	2.0	
183.925	725	2.0	
184.15	726	2.0	
184.325	727	2.0	
184.625	728	2.0	
184.825	729	2.0	
185.0	730	2.0	
185.2	731	2.0	
185.375	732	2.0	
185.625	733	2.0	
185.85	734	2.0	
186.025	735	2.0	
186.225	736	2.0	
186.45	737	2.0	
186.725	738	2.0	
186.925	739	2.0	
187.1	740	2.0	
187.325	741	2.0	
187.6	742	2.0	
187.8	743	2.1	
188.0	744	2.14142135623731	
188.2	745	2.17320508075689	
188.475	746	2.2	
188.65	747	2.22360679774998	
188.875	748	2.24494897427832	
189.05	749	2.26457513110646	
189.35	750	2.28284271247462	
189.55	751	2.3	
189.75	752	2.31622776601684	
189.95	753	2.33166247903554	
190.2	754	2.34641016151378	
190.4	755	2.3605551275464	
190.6	756	2.37416573867739	
190.8	757	2.38729833462074	
191.05	758	2.4	
191.275	759	2.41231056256177	
191.475	760	2.42426406871193	
191.675	761	2.43588989435407	
191.875	762	2.44721359549996	
192.15	763	2.45825756949558	
192.35	764	2.46904157598234	
192.575	765	2.47958315233127	
192.775	766	2.48989794855664	
192.975	767	2.5	
193.225	768	2.50990195135928	
193.4	769	2.51961524227066	
193.625	770	2.52915026221292	
193.8	771	2.53851648071345	
194.025	772	2.54772255750517	
194.2	773	2.556776436283	
194.4	774	2.56568542494924	
194.675	775	2.5744562646538	
194.875	776	2.58309518948453	
195.1	777	2.59160797830996	
195.275	778	2.6	
195.45	779	2.60827625302982	
195.65	780	2.6164414002969	
195.85	781	2.62449979983984	
196.075	782	2.63245553203368	
196.325	783	2.64031242374328	
196.525	784	2.64807406984079	
196.725	785	2.6557438524302	
196.95	786	2.66332495807108	
197.25	787	2.67082039324994	
197.45	788	2.67823299831253	
197.75	789	2.6855654600401	
197.95	790	2.69282032302755	
198.125	791	2.7	
198.35	792	2.70710678118655	
198.6	793	2.71414284285428	
198.975	794	2.7211102550928	
199.175	795	2.72801098892805	
199.35	796	2.73484692283495	
199.525	797	2.74161984870957	
199.725	798	2.74833147735479	
199.925	799	2.75498344352707	
200.125	800	2.76157731058639	
200.325	801	2.76811457478686	
200.5	802	2.77459666924148	
200.7	803	2.78102496759067	
200.875	804	2.78740078740118	
201.2	805	2.79372539331938	
201.375	806	2.8	
201.575	807	2.80622577482985	
201.75	808	2.8124038404636	
201.9	809	2.81853527718724	
202.225	810	2.82462112512353	
202.425	811	2.83066238629181	
202.6	812	2.83666002653408	
202.775	813	2.84261497731764	
202.975	814	2.84852813742386	
203.15	815	2.85440037453175	
203.475	816	2.86023252670426	
203.65	817	2.86602540378444	
203.85	818	2.87177978870813	
204.025	819	2.87749643873921	
204.225	820	2.88317608663278	
204.45	821	2.88881944173156	
204.675	822	2.89442719099992	
205.0	823	2.9	
205.225	824	2.90553851381374	
205.4	825	2.91104335791443	
205.625	826	2.91651513899117	
205.825	827	2.92195444572929	
206.025	828	2.92736184954957	
206.225	829	2.93273790530888	
206.425	830	2.93808315196469	
206.625	831	2.94339811320566	
206.85	832	2.94868329805051	
207.125	833	2.95393920141695	
207.325	834	2.95916630466254	
207.5	835	2.9643650760993	
207.825	836	2.96953597148327	
208.025	837	2.9746794344809	
208.225	838	2.97979589711327	
208.425	839	2.98488578017961	
