depth,ecm
316.68,24.572
317.23,22.3944
317.78,25.0814
318.33,26.2674
318.89,21.8874
319.49,21.8124
320.15,24.2596
320.76,24.2336
321.31,20.6816
321.86,26.376
322.41,24.0342
322.98,26.6238
323.54,25.9434
324.11,25.2958
324.66,26.672
325.21,26.473
325.79,25.7472
326.37,23.6798
326.94,30.1036
327.52,29.3046
328.11,27.0642
328.66,27.1724
329.21,21.2818
329.78,26.584
330.36,24.5494
330.97,23.5628
331.57,25.3966
332.14,25.7608
332.71,26.4372
333.26,23.8028
333.81,25.1796
334.43,26.845
335.13,28.695
335.78,29.432
336.33,28.4684
336.89,30.8526
337.44,33.4318
337.99,27.345
338.55,24.1108
339.11,32.1898
339.66,25.147
340.22,33.3898
340.81,26.1584
341.36,29.756
341.91,29.323
342.46,22.637
343.01,24.136
343.56,22.4868
344.11,21.988
344.69,24.0198
346.57,25.0286
353.73,29.2952
359.55,27.6456
360.05,22.0892
360.56,21.455
361.11,24.3194
361.65,22.6972
362.15,31.923
362.65,26.2942
363.15,21.5948
363.65,27.783
364.15,32.1676
364.67,27.48
365.22,17.3034
365.75,13.6698
366.25,13.4786
366.75,16.1806
367.25,15.0172
367.75,17.9432
368.25,19.201
368.78,17.4432
369.33,17.301
369.85,18.0848
370.35,16.3566
370.88,19.9944
371.43,22.528
371.95,24.401
372.45,21.9232
372.95,26.9184
373.45,26.5832
374.0,25.8034
374.55,24.9118
375.05,17.9826
375.55,17.7302
376.05,20.0454
376.56,20.7424
377.11,20.599
377.65,19.5408
378.15,24.4602
378.65,19.7482
379.15,19.6698
379.65,21.4462
380.15,20.8944
380.67,22.526
381.22,27.9572
381.75,24.5316
382.25,17.655
382.75,22.2498
383.25,15.714
383.75,16.4074
384.25,15.7624
384.78,14.7956
385.33,13.3014
385.85,15.5684
386.35,20.0244
386.85,27.088
387.35,26.6084
389.05,21.664
391.55,16.5848
392.85,15.2212
393.36,15.087
395.51,19.9822
397.65,16.9722
398.15,17.5824
398.65,17.9088
399.15,17.4096
399.67,18.345
400.22,21.4072
400.75,21.3048
401.25,24.7742
401.75,23.8096
402.25,17.618
402.75,21.1956
403.25,25.1936
403.75,25.2216
404.25,24.4748
404.78,19.672
405.33,13.8872
405.85,16.4816
406.35,23.3688
406.85,27.8036
407.35,25.4312
407.85,22.469
408.35,24.1946
408.89,35.9002
409.44,23.6028
409.95,20.3202
410.45,17.6214
410.95,22.4784
411.45,21.6768
411.95,24.3302
412.45,22.7508
413.0,22.3882
413.55,20.109
414.05,13.6056
414.55,15.2062
415.05,21.3448
415.55,21.548
416.05,20.3866
416.56,23.8002
417.11,23.6302
417.65,22.0152
418.15,15.8268
418.65,19.3544
419.15,25.452
419.65,22.9028
420.15,22.9184
420.67,19.8568
421.22,23.1172
421.75,21.9628
422.25,20.191
422.79,22.8908
423.34,31.802
423.85,20.6448
424.35,22.9548
424.89,26.0622
425.44,27.9874
425.95,27.5364
426.45,27.0686
426.95,24.2614
427.45,22.4642
427.95,22.001
428.45,26.0662
429.0,24.5778
429.55,22.6564
430.05,19.8046
430.55,22.506
431.05,20.851
431.55,23.2802
432.05,23.1896
432.56,19.4076
433.11,20.2512
433.65,19.3236
434.15,22.2124
434.65,21.7882
435.15,23.4436
435.65,26.3964
436.15,19.854
436.67,27.2314
437.22,21.2014
437.75,23.4118
438.25,25.5618
438.75,21.3066
439.25,20.9826
439.75,22.4272
440.25,24.6034
440.78,21.8192
441.33,18.401
441.85,16.6974
442.35,15.4734
442.89,18.8918
443.44,16.7186
443.95,15.9538
444.45,21.964
445.0,15.4954
445.55,16.3146
446.05,15.7784
446.55,16.7596
447.05,23.5628
447.55,27.3126
448.05,21.3114
448.56,23.5958
449.11,18.2354
449.66,15.5662
450.21,18.991
450.75,19.0616
451.25,22.7682
451.75,24.7322
452.25,24.1138
452.75,24.045
453.25,30.489
453.8,32.171
454.35,27.6482
454.85,31.2614
455.35,28.6348
455.85,28.5554
456.35,25.2922
456.85,19.0638
457.36,24.8408
457.91,21.6054
458.45,25.2764
458.95,22.0686
459.45,23.2702
460.29,23.2246
461.64,19.846
462.65,20.3622
463.15,19.5234
463.65,21.6964
464.18,24.4024
464.73,20.507
465.25,22.5922
465.75,23.1832
466.25,19.4994
466.75,17.1374
467.25,24.4856
467.75,20.2478
468.25,20.0186
468.91,26.5434
469.61,26.3948
470.15,20.2828
470.65,22.7982
471.15,21.8126
471.65,19.7228
472.2,22.624
472.78,24.4102
473.43,22.2054
474.05,16.9826
474.55,23.4106
475.05,24.5526
476.36,20.3652
478.21,14.6726
479.25,17.9386
479.75,16.0188
480.25,21.161
480.75,36.1688
481.25,23.0542
481.75,19.8446
482.28,14.9214
482.83,22.0084
483.35,22.626
483.85,14.8904
484.35,17.0804
484.85,20.6686
485.35,19.256
485.85,19.555
486.35,19.35
486.89,17.0942
487.44,21.269
487.95,22.1246
488.45,23.2578
488.95,28.3678
489.45,27.5292
489.95,28.4534
490.45,24.8482
491.0,26.0806
491.55,22.7154
492.05,19.4526
492.55,21.4644
493.05,26.9002
493.55,17.391
494.05,20.2032
495.4,16.4296
496.75,20.8908
497.25,19.9102
497.76,15.9576
498.31,15.1342
498.85,21.3146
499.35,18.2932
499.88,20.5292
500.43,26.2444
500.95,24.1918
501.45,23.1276
501.95,20.214
502.45,24.9192
502.95,19.0406
503.45,18.3358
503.95,19.3366
504.61,23.796
505.31,23.8632
505.85,25.0112
506.35,21.0214
506.85,22.003
507.4,24.6858
507.95,21.3146
508.45,29.2092
508.95,30.2218
509.45,23.5104
510.0,22.4316
510.55,22.8672
511.06,27.3718
511.61,25.3732
512.15,23.4068
512.65,29.3022
513.15,27.1256
513.65,24.0834
514.15,27.575
514.65,27.0588
515.15,31.141
515.65,28.499
516.15,30.2342
516.67,30.612
517.22,24.5812
517.75,24.8138
518.25,17.8632
518.79,21.14
519.39,33.126
519.95,29.8396
520.45,24.6356
520.95,19.6696
521.45,23.4518
521.95,26.4282
522.45,28.7402
523.0,30.5184
523.55,25.5496
524.05,26.8032
524.55,31.432
525.05,24.0894
525.55,27.1596
526.05,27.7766
526.55,27.7994
527.05,32.0398
527.55,25.0852
528.05,24.5502
528.56,27.0338
529.11,24.6022
529.65,23.551
530.15,26.7952
530.65,27.2332
531.15,27.7386
531.65,26.8558
532.15,29.728
532.67,27.5966
533.22,25.1006
533.75,31.5892
534.25,25.247
536.35,32.1302
540.85,28.4364
543.75,27.291
544.25,18.7576
544.75,22.8906
545.25,26.3394
546.63,24.8176
548.23,26.0494
549.0,28.271
549.55,22.3304
550.1,27.095
