#IGOR SMB Depth (m)	mm ie	error
35.88374137	0.084138715	0.2
35.99790765	0.084138721	0.2
36.11207393	0.084138727	0.2
36.22059087	0.084138734	0.2
36.32727855	0.08413874	0.2
36.43396622	0.084138747	0.2
36.5406539	0.084138753	0.2
36.64734157	0.08413876	0.2
36.75402925	0.084138766	0.2
36.86071693	0.084138773	0.2
36.9674046	0.084138779	0.2
37.07409228	0.084138785	0.2
37.18077996	0.084138792	0.2
37.28746763	0.084138798	0.2
37.39415531	0.084138805	0.2
37.50084298	0.084138811	0.2
37.60753066	0.084138818	0.2
37.71421834	0.084138824	0.2
37.82090601	0.084138831	0.2
37.92759369	0.084138837	0.2
38.03428136	0.084138844	0.2
38.14096904	0.08413885	0.2
38.24765672	0.084138856	0.2
38.35434439	0.084138863	0.2
38.46103207	0.084138869	0.2
38.56771974	0.084138876	0.2
38.67440742	0.084138882	0.2
38.7810951	0.084138889	0.2
38.88778277	0.084138895	0.2
38.99447045	0.084138902	0.2
39.10115812	0.084138908	0.2
39.2078458	0.084138914	0.2
39.31453348	0.084138921	0.2
39.42122115	0.084138927	0.2
39.52790883	0.084138934	0.2
39.6345965	0.08413894	0.2
39.74128418	0.084138947	0.2
39.84797186	0.084138953	0.2
39.95465953	0.08413896	0.2
40.06134721	0.08413896	0.2
40.16803488	0.08413896	0.2
40.27472256	0.08413896	0.2
40.38141024	0.08413896	0.2
40.48809791	0.08413896	0.2
40.59478559	0.08413896	0.2
40.70147327	0.08413896	0.2
40.80816094	0.08413896	0.2
40.91484862	0.08413896	0.2
41.02153629	0.08413896	0.2
41.12822397	0.08413896	0.2
41.23491165	0.08413896	0.2
41.34159932	0.08413896	0.2
41.448287	0.08413896	0.2
41.55497467	0.08413896	0.2
41.66166235	0.08413896	0.2
41.76835003	0.08413896	0.2
41.8750377	0.08413896	0.2
41.98172538	0.08413896	0.2
42.08841305	0.08413896	0.2
42.19510073	0.08413896	0.2
42.30178841	0.08413896	0.2
42.40847608	0.08413896	0.2
42.51516376	0.08413896	0.2
42.62185143	0.08413896	0.2
42.72853911	0.08413896	0.2
42.83522679	0.08413896	0.2
42.94191446	0.08413896	0.2
43.04860214	0.08413896	0.2
43.15528981	0.08413896	0.2
43.26197749	0.08413896	0.2
43.36866517	0.08413896	0.2
43.47535284	0.08413896	0.2
43.58204052	0.08413896	0.2
43.68872819	0.08413896	0.2
43.79541587	0.08413896	0.2
43.90210355	0.08413896	0.2
44.00879122	0.08413896	0.2
44.1154789	0.08413896	0.2
44.22216657	0.08413896	0.2
44.32885425	0.08413896	0.2
44.43554193	0.08413896	0.2
44.5422296	0.08413896	0.2
44.64891728	0.08413896	0.2
44.75560496	0.08413896	0.2
44.86229263	0.08413896	0.2
44.96898031	0.08413896	0.2
45.07566798	0.08413896	0.2
45.18235566	0.084200494	0.2
45.28904334	0.084262029	0.2
45.39573101	0.084323563	0.2
45.50241869	0.084385098	0.2
45.60910636	0.084446632	0.2
45.71579404	0.084508166	0.2
45.82248172	0.084569701	0.2
45.92916939	0.084631235	0.2
46.03585707	0.08469277	0.2
46.14254474	0.084754304	0.2
46.24923242	0.084815839	0.2
46.3559201	0.084877373	0.2
46.46260777	0.084938908	0.2
46.56929545	0.085000442	0.2
46.67598312	0.085061977	0.2
46.7826708	0.085123511	0.2
46.88935848	0.085185046	0.2
46.99604615	0.08524658	0.2
47.10273383	0.085308115	0.2
47.2094215	0.085369649	0.2
47.31610918	0.085431184	0.2
47.42279686	0.085492718	0.2
47.52948453	0.085554253	0.2
47.63617221	0.085615787	0.2
47.74285988	0.085677322	0.2
47.84954756	0.085738856	0.2
47.95623524	0.08580039	0.2
48.06292291	0.085861925	0.2
48.16961059	0.085923459	0.2
48.27629827	0.085984994	0.2
48.38298594	0.086046528	0.2
48.48967362	0.086108063	0.2
48.59636129	0.086169597	0.2
48.70304897	0.086231132	0.2
48.80973665	0.086292666	0.2
48.91161067	0.086354201	0.2
49.01297233	0.086415735	0.2
49.114334	0.08647727	0.2
49.21569566	0.086538804	0.2
49.31705732	0.086600339	0.2
49.41841899	0.086661873	0.2
49.51978065	0.086723408	0.2
49.62114231	0.086784942	0.2
49.72250398	0.086846477	0.2
49.82386564	0.086908011	0.2
49.9252273	0.086969545	0.2
50.02658897	0.08703108	0.2
50.12795063	0.087092614	0.2
50.22931229	0.087154149	0.2
50.33067396	0.087215683	0.2
50.43203562	0.087277218	0.2
50.53339728	0.087338752	0.2
50.63475895	0.087400287	0.2
50.73612061	0.087461821	0.2
50.83748227	0.087523356	0.2
50.93884394	0.08758489	0.2
51.0402056	0.087646425	0.2
51.14156726	0.087707959	0.2
51.24292892	0.087769494	0.2
51.34429059	0.087831028	0.2
51.44565225	0.087892563	0.2
51.54701391	0.087954097	0.2
51.64837558	0.088015632	0.2
51.74973724	0.088077166	0.2
