#acquired from GICC file, rel_unc is 0.01% of LID. 
depth	LID	rel_unc	comment
723.25	66.28	0.6628000000000001	
724.89	66.33	0.6633	
726.53	66.45	0.6645000000000001	
728.165	66.54	0.6654000000000001	
729.8	66.15	0.6615000000000001	
731.44	65.99	0.6598999999999999	
733.08	65.91	0.6591	
734.79	65.95	0.6595000000000001	
736.5	65.88	0.6587999999999999	
738.09	65.82	0.6581999999999999	
739.68	65.87	0.6587000000000001	
741.255	65.86	0.6586	
742.83	65.8	0.658	
744.369	65.98	0.6598	
746.25	65.76	0.6576000000000001	
748.0	65.86	0.6586	
749.75	65.97	0.6597	
751.315	66.06	0.6606000000000001	
752.88	66.13	0.6613	
754.615	66.2	0.662	
756.35	66.08	0.6607999999999999	
757.915	65.9	0.659	
759.48	65.88	0.6587999999999999	
760.98	66.08	0.6607999999999999	
762.48	66.15	0.6615000000000001	
764.105	66.04	0.6604000000000001	
765.73	66.09	0.6609	
767.44	66.07	0.6607	
769.15	66.01	0.6601	
770.82	65.86	0.6586	
772.49	65.8	0.658	
774.115	65.81	0.6581	
775.74	65.87	0.6587000000000001	
777.335	66.22	0.6622	
778.93	66.13	0.6613	
780.48	65.98	0.6598	
782.03	66.04	0.6604000000000001	
783.515	66.05	0.6605	
785.0	65.9	0.659	
786.3905	66.02	0.6602	
788.09	66.08	0.6607999999999999	
789.76	66.16	0.6616	
791.43	66.19	0.6619	
793.16	66.25	0.6625	
794.89	66.09	0.6609	
796.492	66.16	0.6616	
798.45	66.09	0.6609	
799.92	66.18	0.6618	
801.39	66.04	0.6604000000000001	
803.125	66.0	0.66	
804.86	65.83	0.6583	
806.345	65.65	0.6565000000000001	
807.83	65.5	0.655	
809.385	65.56	0.6556000000000001	
810.94	65.66	0.6566	
812.46	65.71	0.6570999999999999	
813.98	65.87	0.6587000000000001	
815.49	66.05	0.6605	
817.0	66.05	0.6605	
818.52	66.25	0.6625	
820.04	66.01	0.6601	
821.425	66.01	0.6601	
822.81	65.78	0.6578	
824.265	66.06	0.6606000000000001	
825.72	66.38	0.6638	
827.145	66.83	0.6683	
828.57	66.95	0.6695000000000001	
829.975	66.56	0.6656000000000001	
831.38	66.65	0.6665000000000001	
832.905	66.23	0.6623	
834.43	65.94	0.6594	
835.91	65.6	0.6559999999999999	
837.39	65.79	0.6579	
838.955	65.95	0.6595000000000001	
840.52	65.6	0.6559999999999999	
841.915	65.36	0.6536	
843.31	65.19	0.6519	
844.77	65.28	0.6528	
846.23	65.42	0.6542	
847.84	65.37	0.6537000000000001	
849.45	65.37	0.6537000000000001	
851.01	65.46	0.6546	
852.57	65.4	0.654	
854.05	65.2	0.652	
855.53	65.44	0.6544	
856.945	65.58	0.6558	
858.36	65.65	0.6565000000000001	
859.92	65.77	0.6577	
861.48	65.49	0.6548999999999999	
862.86	65.4	0.654	
864.24	65.4	0.654	
865.79	65.56	0.6556000000000001	
867.34	65.7	0.657	
868.5055	65.58	0.6558	
869.93	65.6	0.6559999999999999	
871.4	65.32	0.6531999999999999	
872.87	65.41	0.6541	
874.245	65.42	0.6542	
875.62	65.35	0.6535	
877.255	65.19	0.6519	
878.89	65.31	0.6531	
880.465	65.4	0.654	
882.04	65.49	0.6548999999999999	
883.59	65.55	0.6555	
885.14	65.4	0.654	
886.63	64.99	0.6498999999999999	
888.12	64.73	0.6473000000000001	
889.545	64.73	0.6473000000000001	
890.97	64.6	0.6459999999999999	
892.365	64.9	0.649	
893.76	64.73	0.6473000000000001	
895.14	64.55	0.6455	
896.52	64.64	0.6464	
897.905	64.93	0.6493000000000001	
899.29	64.83	0.6483	
900.71	64.73	0.6473000000000001	
902.13	65.1	0.6509999999999999	
903.625	65.32	0.6531999999999999	
905.12	65.67	0.6567000000000001	
906.7865	65.57	0.6557	
907.9985	65.92	0.6592	
909.705	65.77	0.6577	
911.26	65.74	0.6574	
912.67	65.56	0.6556000000000001	
914.08	65.7	0.657	
915.435	65.66	0.6566	
916.79	65.4	0.654	
918.265	65.17	0.6517000000000001	
919.74	65.46	0.6546	
921.07	65.37	0.6537000000000001	
922.4	65.05	0.6505	
923.785	65.11	0.6511	
925.17	65.0	0.65	
926.622	65.03	0.6503	
927.81	65.27	0.6527	
929.09	65.46	0.6546	
930.37	65.67	0.6567000000000001	
931.58	65.83	0.6583	
932.79	65.63	0.6563	
934.24	65.35	0.6535	
935.69	65.69	0.6569	
937.045	65.88	0.6587999999999999	
938.4	65.56	0.6556000000000001	
939.875	65.21	0.6520999999999999	
941.35	64.79	0.6479	
942.73	64.68	0.6468	
944.11	64.5	0.645	
945.48	64.65	0.6465000000000001	
946.85	64.64	0.6464	
948.325	64.87	0.6487	
949.8	64.77	0.6476999999999999	
951.26	64.52	0.6452	
952.72	64.42	0.6442	
954.24	64.38	0.6437999999999999	
955.76	64.7	0.647	
957.195	64.79	0.6479	
958.63	65.0	0.65	
960.0	65.1	0.6509999999999999	
961.37	65.25	0.6525	
962.5445	65.4	0.654	
963.98	65.53	0.6553	
965.62	65.59	0.6559	
967.26	65.68	0.6568	
968.67	65.65	0.6565000000000001	
970.08	65.79	0.6579	
971.43	65.9	0.659	
972.78	65.83	0.6583	
974.31	65.84	0.6584000000000001	
975.84	66.08	0.6607999999999999	
977.3085	66.19	0.6619	
978.51	66.46	0.6646	
979.895	66.72	0.6672	
981.28	66.74	0.6674	
982.59	67.1	0.6709999999999999	
983.9	66.8	0.668	
985.16	66.47	0.6647	
986.42	66.43	0.6643000000000001	
987.695	66.41	0.6641	
988.97	66.3	0.663	
990.23	66.37	0.6637000000000001	
991.49	66.19	0.6619	
992.95	66.01	0.6601	
994.41	65.91	0.6591	
995.835	66.01	0.6601	
997.26	65.87	0.6587000000000001	
998.64	66.13	0.6613	
1000.02	66.06	0.6606000000000001	
1001.32	65.73	0.6573000000000001	
1002.62	65.47	0.6547	
1003.945	65.27	0.6527	
1005.27	65.39	0.6539	
1006.73	65.37	0.6537000000000001	
1008.19	65.12	0.6512000000000001	
1009.43	65.15	0.6515000000000001	
1010.67	65.24	0.6524	
1011.97	65.25	0.6525	
