,depth,deporate,rel_unc,comment
139,55.125,0.2292133564108305,0.2,
140,55.4,0.2275479963636651,0.2,
141,55.575,0.2289132562113741,0.2,
142,55.975,0.2261736306642797,0.2,
143,56.3,0.2254320998433033,0.2,
144,56.55,0.2299386750638312,0.2,
145,56.85,0.2291953693980889,0.2,
146,57.05,0.2263662907435754,0.2,
147,57.3,0.2277575347926098,0.2,
148,57.525,0.2249175883618419,0.2,
149,57.825,0.222124929785629,0.2,
150,58.075,0.2223854494009917,0.2,
151,58.35,0.2248702811333632,0.2,
152,58.575,0.2272464240036134,0.2,
153,58.85,0.2233709856929505,0.2,
154,59.075,0.2204745562872315,0.2,
155,59.3,0.2218315919070362,0.2,
156,59.575,0.2243394576762219,0.2,
157,59.825,0.224571057763406,0.2,
158,60.125,0.2226911236007978,0.2,
159,60.35,0.2284393352552323,0.2,
