#acquired by dividing col 4 by column 3 of the accumulation dataset from 1999. Uncertainty set as 1%.
depth	thinning	rel_unc	comment
67.1	0.9786831275720165	0.009786831275720165	
67.65	0.9787878787878788	0.009787878787878788	
68.2	0.9797247706422018	0.009797247706422018	
68.75	0.9776415094339623	0.009776415094339623	
69.3	0.9801659751037345	0.009801659751037346	
69.85	0.9778602620087335	0.009778602620087336	
70.4	0.979240506329114	0.00979240506329114	
70.95	0.9802127659574469	0.009802127659574469	
71.5	0.9779646017699114	0.009779646017699114	
72.05	0.9782995951417004	0.009782995951417003	
72.6	0.976551724137931	0.00976551724137931	
73.15	0.9771120689655172	0.009771120689655173	
73.7	0.9760000000000001	0.009760000000000001	
74.25	0.9755963302752294	0.009755963302752295	
74.8	0.9752995391705069	0.00975299539170507	
75.35	0.9770319634703196	0.009770319634703196	
75.9	0.9761502347417841	0.009761502347417841	
