Depth	DEP	ECM	Age
Top (m)	(uS/m)	(uM)	Top (yr BP)

354.20	22.0472	0.9553	1503
354.75	21.5456	1.2169	1506
355.30	20.8425	1.3764	1509
355.85	22.0512	1.4973	1512
356.40	20.5136	1.8141	1514
356.95	20.8185	1.8502	1517
357.50	19.4036	1.5336	1519
358.05	20.9648	0.8129	1522
358.60	21.2415	1.4715	1525
359.15	20.9589	1.6120	1528
359.70	21.0852	1.6495	1531
360.25	20.6296	1.5796	1534
360.80	19.6307	1.3423	1536
361.35	20.5647	1.6037	1539
361.90	18.9367	0.9936	1542
362.45	20.8943	1.3168	1544
363.00	19.8650	1.1930	1547
363.55	20.3536	1.3771	1550
364.10	20.4448	1.5048	1553
364.65	18.7429	1.2909	1555
365.20	21.6437	1.4490	1558
365.75	21.1359	1.3894	1561
366.30	20.9848	1.6232	1563
366.85	20.1239	1.2976	1566
367.40	17.6552	0.9687	1569
367.95	16.5136	0.7656	1572
368.50	18.2663	1.1187	1574
369.05	19.5075	1.5371	1577
369.60	20.2544	1.6503	1580
370.15	19.8326	1.3630	1582
370.70	18.2825	0.9973	1585
371.25	19.4052	1.2598	1587
371.80	17.2325	0.8613	1590
372.35	19.6269	1.1581	1593
372.90	19.4952	1.2371	1596
373.45	19.5132	1.1416	1598
374.00	21.1956	1.3594	1601
374.55	17.9179	0.9294	1604
375.10	21.4743	1.2546	1607
375.65	21.9707	1.3902	1609
376.20	20.3815	1.0208	1612
376.75	19.3539	0.9229	1615
377.30	19.3356	0.9965	1618
377.85	20.6915	1.1384	1621
378.40	20.6411	1.1902	1624
378.95	18.6837	0.9329	1626
379.50	19.4889	1.2771	1629
380.60	19.9492	1.3104	1635
381.15	21.1659	1.7203	1638
381.70	20.4618	1.7894	1640
382.25	18.5793	1.2936	1643
382.80	18.6581	1.4320	1647
383.35	20.8607	2.3164	1649
383.90	19.0645	2.0355	1652
384.45	21.1600	2.1147	1655
385.00	20.2782	1.7614	1658
385.55	21.1296	1.1611	1661
386.10	20.8518	1.1930	1663
386.65	19.5263	1.2096	1666
387.20	19.7168	1.3354	1669
387.75	20.2930	0.9811	1672
388.30	19.5933	0.9570	1675
388.85	19.6868	1.2716	1678
389.40	21.8278	1.9852	1680
389.95	20.0304	1.1758	1683
390.50	22.2915	1.6890	1686
391.05	21.4121	1.4202	1689
391.60	21.4789	1.7823	1691
392.15	19.8221	1.4425	1694
392.70	20.8521	1.3902	1697
393.25	19.8515	1.3385	1700
393.80	25.6675	1.8825	1702
394.35	20.3526	1.2104	1705
394.90	21.1681	1.5030	1708
395.45	20.6139	1.2089	1711
396.00	20.5726	1.4072	1713
396.55	19.6893	1.3150	1716
397.10	19.2639	1.1337	1719
397.65	19.0370	0.8604	1722
398.20	19.9614	0.8623	1725
398.75	23.1785	1.2412	1728
399.30	20.9132	1.1269	1731
399.85	20.9330	1.0752	1734
400.40	22.5333	1.1932	1737
400.95	20.1771	0.8399	1740
401.50	21.4396	1.0727	1742
402.05	21.0100	1.4225	1745
402.60	22.0011	1.4859	1748
403.15	20.7543	1.1886	1751
403.70	20.6744	1.0530	1754
404.25	20.1352	1.1542	1757
404.80	20.9385	1.2504	1760
405.35	24.2746	2.0135	1763
405.90	21.9319	1.4927	1765
406.45	18.3793	0.9737	1768
407.00	19.0919	1.2800	1771
407.55	20.0241	1.1082	1774
408.10	20.5889	1.0204	1776
408.65	22.6596	1.4799	1779
409.20	18.3332	0.9842	1782
409.75	20.6237	1.4475	1785
410.30	20.5454	1.3009	1788
410.85	19.8719	1.3655	1791
411.40	17.1811	1.0542	1794
411.95	20.3289	1.6270	1797
412.50	21.9985	1.8367	1800
413.05	26.3693	2.8614	1803
413.60	20.2496	1.0673	1806
414.15	20.4415	1.0918	1809
414.70	23.8548	1.1562	1811
415.25	19.3761	0.8440	1814
415.80	20.0156	1.3374	1817
416.35	18.3654	1.1267	1820
416.90	18.9154	1.1856	1823
417.45	19.0807	1.3927	1825
418.00	21.6479	1.6304	1828
418.55	18.5089	1.0677	1831
419.10	21.0293	1.2062	1834
419.65	19.4374	1.4513	1837
420.20	20.6471	1.9028	1840
420.75	19.8948	1.5029	1843
421.30	20.7021	1.6907	1846
421.85	21.2415	1.3774	1848
422.40	20.4256	1.4037	1851
422.95	20.8186	1.3284	1854
423.50	21.0774	1.0403	1857
424.05	19.6707	1.4243	1860
424.60	19.0336	1.3301	1862
425.15	19.6885	1.3176	1865
425.70	19.6571	1.4542	1868
426.25	18.2200	1.2690	1871
426.80	20.7493	1.3563	1874
427.35	18.7222	1.0603	1876
427.90	20.3307	1.6283	1879
428.45	20.1082	1.5285	1882
429.00	26.2963	1.8970	1885
429.55	21.0904	1.1998	1887
430.10	17.9941	0.7873	1890
430.65	19.7829	1.3939	1893
431.20	18.9085	1.3896	1896
431.75	19.0445	1.1905	1899
432.30	17.9836	1.1026	1901
432.85	20.1989	1.4116	1904
433.40	21.3389	1.7396	1907
433.95	22.8152	1.9996	1909
434.50	19.4585	1.8668	1912
435.05	20.4079	1.3343	1915
435.60	18.6096	1.2256	1918
436.15	20.4462	1.2094	1921
436.70	20.3122	1.2008	1924
437.25	19.4561	1.1191	1926
437.80	21.5174	1.6765	1929
438.35	19.2857	0.9350	1932
438.90	18.2826	1.2676	1934
439.45	19.4411	1.3949	1937
440.00	19.4518	1.4372	1940
440.55	18.3830	1.4169	1943
441.10	18.3569	0.9802	1946
441.65	17.9100	1.0130	1949
442.20	19.4441	1.3702	1952
442.75	18.2971	1.3468	1955
443.30	18.2150	1.4697	1957
443.85	18.3639	1.6967	1960
444.40	19.9300	2.6493	1963
444.95	19.8364	2.2337	1966
445.50	18.6452	1.6032	1969
446.05	21.2430	1.9034	1972
446.60	19.9167	1.5471	1975
447.15	19.2075	1.2995	1978
447.70	17.5270	1.2009	1980
448.25	18.4904	1.3338	1983
448.80	19.4252	1.2465	1986
449.35	20.2507	1.4373	1989
449.90	19.3596	1.4429	1992
450.45	20.2421	2.1277	1995
451.00	20.2108	1.8637	1998
451.55	19.5021	1.6979	2000
452.10	19.6978	1.8563	2003
452.65	17.9082	0.8859	2006
453.20	17.0589	1.3794	2008
453.75	16.7132	1.4746	2011
454.30	18.8141	1.2711	2014
454.85	32.8721	4.3196	2017
455.40	21.2389	3.1878	2020
455.95	20.2018	1.6907	2024
456.50	19.8067	1.5747	2026
457.05	19.1257	1.3688	2030
457.60	20.8882	1.8172	2033
458.15	20.0504	1.3637	2035
458.70	20.0944	1.3445	2038
459.25	18.8043	1.2659	2041
459.80	19.8107	1.5665	2044
460.35	20.5337	1.7605	2048
460.90	19.7582	1.8622	2051
461.45	21.5436	2.5016	2053
462.00	20.4652	2.0894	2056
462.55	19.6182	1.9689	2059
463.10	20.8870	1.2376	2062
463.65	21.8130	1.0909	2065
464.20	19.8470	1.3364	2068
464.75	19.7968	1.1786	2071
465.30	19.3989	1.4636	2074
465.85	19.4714	1.4685	2076
466.40	20.2748	1.2897	2079
466.95	19.7644	1.2615	2082
467.50	18.2636	1.1678	2085
468.05	19.6111	1.5304	2088
468.60	18.1015	1.6528	2091
471.35	19.1304	1.4374	2106
471.90	19.6289	1.3772	2109
472.45	19.7807	1.7471	2112
473.00	18.9822	1.4554	2114
473.55	21.1811	2.1911	2117
474.10	25.4148	2.9095	2120
474.65	23.1011	1.9703	2123
475.20	19.4763	1.7392	2126
475.75	21.1629	2.1264	2129
476.30	19.2569	1.1844	2132
476.85	20.7918	0.8471	2135
477.40	22.3567	1.1376	2138
477.95	17.4636	1.0184	2140
478.50	20.3942	1.7186	2143
479.05	22.4254	1.5480	2146
479.60	17.9407	0.9920	2149
480.15	16.6671	0.6536	2152
480.70	15.7541	0.6335	2155
481.25	19.7426	0.8148	2158
481.80	16.4279	0.3985	2161
482.35	21.5893	0.9290	2164
482.90	17.8000	0.7195	2167
483.45	17.3389	0.8575	2170
484.00	18.6989	1.2236	2173
484.55	19.0196	1.3058	2176
485.10	18.1244	1.0921	2179
485.65	18.9221	1.2704	2182
486.20	22.4744	1.2970	2185
486.75	20.2261	0.9102	2188
487.30	19.7563	1.0700	2191
487.85	19.7196	1.1406	2194
488.40	19.2763	0.9338	2197
488.95	20.0382	1.1888	2200
489.50	19.7029	0.9492	2203
490.05	20.8137	0.9358	2205
490.60	18.7231	0.6951	2208
491.15	20.2604	0.8000	2212
491.70	19.9856	0.9869	2215
492.25	19.8779	1.1479	2217
492.80	33.4844	5.0221	2220
493.35	22.6121	1.2496	2223
493.90	19.0585	0.8045	2226
494.45	20.7604	1.3596	2229
495.00	20.4544	1.0028	2232
495.55	19.0893	0.6511	2234
496.10	20.8221	0.8129	2237
496.65	18.9456	0.7697	2240
497.20	19.7146	0.7108	2243
497.75	18.6680	0.8094	2246
498.30	19.7821	0.7664	2249
498.85	19.3515	1.1688	2252
499.40	20.5854	1.2799	2254
499.95	21.1185	1.0995	2257
500.50	20.0021	0.8985	2260
501.05	21.1952	1.1884	2263
501.60	19.7882	1.0047	2266
502.15	18.9530	1.3677	2269
502.70	20.1300	1.4753	2272
503.25	20.4956	1.3597	2275
503.80	19.2921	0.7310	2278
504.35	18.8619	0.8250	2281
504.90	18.6746	1.0053	2284
505.45	20.1374	0.7679	2287
506.00	19.8230	0.9341	2290
506.55	19.0061	0.7448	2293
507.10	19.3811	0.9591	2296
507.65	20.5493	0.6406	2299
508.20	18.9222	0.5210	2302
508.75	20.0286	0.8370	2305
509.30	19.0415	0.7517	2308
509.85	18.7178	1.0820	2311
510.40	19.1886	0.7523	2314
510.95	18.9996	0.9601	2317
511.50	19.3268	1.0440	2320
512.05	19.6830	1.1637	2323
512.60	19.0348	0.9616	2326
513.15	23.0411	1.8401	2329
513.70	18.8372	0.7905	2332
514.25	18.4922	0.8285	2335
514.80	18.2275	0.8962	2338
515.35	18.3496	0.8908	2341
515.90	19.0200	0.9302	2344
516.45	20.6485	0.6586	2347
517.00	19.1293	0.7928	2350
517.55	18.5896	0.8523	2352
518.10	18.5146	1.2592	2355
518.65	20.8659	1.3522	2358
519.20	18.1233	1.0599	2361
519.75	19.2354	1.2933	2364
520.30	18.7437	1.3863	2367
520.85	19.8550	1.3348	2370
