#from EDML LC as of Sep 24, 2025. Unc from the original MCE / 5 to account for volcanic alignment.
depth	age	age_unc	comment
149.015	1723.0	8.0	
149.117	1724.0	8.0	
149.198	1725.0	8.0	
149.285	1726.0	8.0	
149.39	1727.0	8.0	
149.475	1728.0	8.0	
149.542	1729.0	8.0	
149.615	1730.0	8.0	
149.692	1731.0	8.0	
149.736	1732.0	8.0	
149.793	1733.0	8.0	
149.876	1734.0	8.0	
149.931	1735.0	8.0	
149.957	1736.0	8.0	
150.035	1737.0	8.0	
150.135	1738.0	8.0	
150.182	1739.0	8.0	
150.246	1740.0	8.0	
150.324	1741.0	8.0	
150.39	1742.0	8.0	
150.451	1743.0	8.0	
150.526	1744.0	8.0	
150.593	1745.0	8.0	
150.647	1746.0	8.0	
150.699	1747.0	8.1	
150.774	1748.0	8.1	
150.85	1749.0	8.1	
150.889	1750.0	8.2	
150.932	1751.0	8.2	
151.006	1752.0	8.2	
151.045	1753.0	8.2	
151.102	1754.0	8.2	
151.154	1755.0	8.2	
151.242	1756.0	8.3	
151.271	1757.0	8.3	
151.346	1758.0	8.3	
151.409	1759.0	8.3	
151.517	1760.0	8.3	
151.612	1761.0	8.3	
151.698	1762.0	8.3	
151.78	1763.0	8.3	
151.844	1764.0	8.3	
151.913	1765.0	8.3	
151.988	1766.0	8.4	
152.11	1767.0	8.4	
152.189	1768.0	8.4	
152.282	1769.0	8.4	
152.333	1770.0	8.4	
152.386	1771.0	8.4	
152.451	1772.0	8.4	
152.534	1773.0	8.4	
152.606	1774.0	8.4	
152.667	1775.0	8.4	
152.714	1776.0	8.4	
152.791	1777.0	8.4	
152.863	1778.0	8.4	
152.907	1779.0	8.4	
152.957	1780.0	8.4	
153.013	1781.0	8.4	
153.052	1782.0	8.4	
153.118	1783.0	8.4	
153.166	1784.0	8.4	
153.212	1785.0	8.4	
153.261	1786.0	8.4	
153.293	1787.0	8.4	
153.351	1788.0	8.4	
153.405	1789.0	8.4	
153.455	1790.0	8.4	
153.543	1791.0	8.4	
153.647	1792.0	8.4	
153.744	1793.0	8.4	
153.817	1794.0	8.4	
153.874	1795.0	8.4	
153.945	1796.0	8.4	
153.982	1797.0	8.4	
154.038	1798.0	8.4	
154.132	1799.0	8.5	
154.186	1800.0	8.5	
154.215	1801.0	8.5	
154.262	1802.0	8.5	
154.328	1803.0	8.5	
154.397	1804.0	8.5	
154.496	1805.0	8.5	
154.544	1806.0	8.5	
154.608	1807.0	8.5	
154.69	1808.0	8.5	
154.739	1809.0	8.5	
154.827	1810.0	8.6	
154.862	1811.0	8.6	
154.941	1812.0	8.6	
155.003	1813.0	8.6	
155.03	1814.0	8.7	
155.113	1815.0	8.7	
155.19	1816.0	8.7	
155.259	1817.0	8.7	
155.328	1818.0	8.7	
155.382	1819.0	8.7	
155.443	1820.0	8.7	
155.517	1821.0	8.7	
155.622	1822.0	8.7	
155.666	1823.0	8.7	
155.715	1824.0	8.7	
155.76	1825.0	8.7	
155.828	1826.0	8.7	
155.878	1827.0	8.7	
155.979	1828.0	8.7	
156.095	1829.0	8.7	
156.186	1830.0	8.7	
156.263	1831.0	8.7	
156.318	1832.0	8.7	
156.376	1833.0	8.7	
156.468	1834.0	8.8	
156.531	1835.0	8.8	
156.654	1836.0	8.8	
156.693	1837.0	8.8	
156.793	1838.0	8.8	
156.855	1839.0	8.8	
156.925	1840.0	8.8	
157.005	1841.0	8.8	
157.105	1842.0	8.9	
157.159	1843.0	8.9	
157.235	1844.0	8.9	
157.292	1845.0	8.9	
157.365	1846.0	8.9	
157.402	1847.0	8.9	
157.507	1848.0	8.9	
157.564	1849.0	8.9	
157.672	1850.0	9.0	
157.748	1851.0	9.0	
157.875	1852.0	9.0	
157.946	1853.0	9.0	
158.008	1854.0	9.0	
158.097	1855.0	9.0	
158.223	1856.0	9.0	
158.291	1857.0	9.0	
158.335	1858.0	9.0	
158.448	1859.0	9.0	
158.543	1860.0	9.0	
158.62	1861.0	9.0	
158.716	1862.0	9.0	
158.772	1863.0	9.0	
158.86	1864.0	9.0	
158.945	1865.0	9.0	
158.998	1866.0	9.0	
159.071	1867.0	9.0	
159.186	1868.0	9.0	
159.276	1869.0	9.0	
159.319	1870.0	9.0	
159.403	1871.0	9.0	
159.473	1872.0	9.0	
159.516	1873.0	9.0	
159.559	1874.0	9.0	
159.635	1875.0	9.0	
159.7	1876.0	9.0	
159.75	1877.0	9.0	
159.786	1878.0	9.0	
159.872	1879.0	9.0	
159.947	1880.0	9.0	
160.017	1881.0	9.0	
160.073	1882.0	9.0	
160.136	1883.0	9.0	
160.223	1884.0	9.0	
160.287	1885.0	9.0	
160.349	1886.0	9.0	
160.398	1887.0	9.0	
160.459	1888.0	9.0	
160.509	1889.0	9.0	
160.596	1890.0	9.0	
160.669	1891.0	9.0	
160.724	1892.0	9.0	
160.779	1893.0	9.0	
160.821	1894.0	9.1	
160.857	1895.0	9.1	
160.9	1896.0	9.1	
160.961	1897.0	9.1	
160.997	1898.0	9.1	
161.085	1899.0	9.1	
161.128	1900.0	9.2	
161.156	1901.0	9.2	
161.214	1902.0	9.2	
161.267	1903.0	9.2	
161.331	1904.0	9.2	
161.409	1905.0	9.2	
161.472	1906.0	9.2	
161.54	1907.0	9.2	
161.606	1908.0	9.2	
161.703	1909.0	9.2	
161.797	1910.0	9.2	
161.858	1911.0	9.2	
161.915	1912.0	9.2	
161.963	1913.0	9.2	
162.07	1914.0	9.2	
162.12	1915.0	9.2	
162.159	1916.0	9.2	
162.231	1917.0	9.2	
162.279	1918.0	9.2	
162.353	1919.0	9.2	
162.405	1920.0	9.2	
162.557	1921.0	9.3	
162.622	1922.0	9.3	
162.679	1923.0	9.3	
162.741	1924.0	9.3	
162.796	1925.0	9.3	
162.872	1926.0	9.3	
162.94	1927.0	9.3	
163.008	1928.0	9.3	
163.04	1929.0	9.3	
163.082	1930.0	9.3	
163.141	1931.0	9.3	
163.203	1932.0	9.3	
163.242	1933.0	9.3	
163.295	1934.0	9.3	
163.359	1935.0	9.3	
163.417	1936.0	9.3	
163.536	1937.0	9.3	
163.588	1938.0	9.3	
163.629	1939.0	9.3	
163.681	1940.0	9.3	
163.736	1941.0	9.3	
163.822	1942.0	9.3	
163.916	1943.0	9.3	
163.983	1944.0	9.3	
164.028	1945.0	9.3	
164.155	1946.0	9.4	
164.228	1947.0	9.4	
164.296	1948.0	9.4	
164.348	1949.0	9.4	
164.411	1950.0	9.5	
164.443	1951.0	9.5	
164.525	1952.0	9.5	
164.569	1953.0	9.5	
164.645	1954.0	9.5	
164.688	1955.0	9.5	
164.771	1956.0	9.5	
164.838	1957.0	9.5	
164.902	1958.0	9.5	
164.947	1959.0	9.5	
164.993	1960.0	9.5	
165.018	1961.0	9.5	
165.123	1962.0	9.5	
165.213	1963.0	9.5	
165.257	1964.0	9.5	
165.341	1965.0	9.5	
165.369	1966.0	9.5	
165.42	1967.0	9.5	
165.527	1968.0	9.5	
165.62	1969.0	9.5	
165.675	1970.0	9.5	
165.73	1971.0	9.5	
165.818	1972.0	9.5	
165.96	1973.0	9.5	
166.012	1974.0	9.5	
166.138	1975.0	9.5	
166.202	1976.0	9.5	
166.283	1977.0	9.5	
166.389	1978.0	9.6	
166.522	1979.0	9.7	
166.587	1980.0	9.7	
166.659	1981.0	9.7	
166.713	1982.0	9.7	
166.772	1983.0	9.7	
166.849	1984.0	9.7	
166.927	1985.0	9.7	
166.973	1986.0	9.7	
167.044	1987.0	9.7	
167.121	1988.0	9.7	
167.188	1989.0	9.7	
167.266	1990.0	9.7	
167.32	1991.0	9.8	
167.36	1992.0	9.8	
167.439	1993.0	9.9	
167.479	1994.0	9.9	
167.606	1995.0	10.0	
167.665	1996.0	10.0	
167.741	1997.0	10.0	
167.778	1998.0	10.0	
167.847	1999.0	10.0	
167.879	2000.0	10.0	
167.923	2001.0	10.0	
167.997	2002.0	10.0	
168.05	2003.0	10.0	
168.131	2004.0	10.0	
168.213	2005.0	10.0	
168.276	2006.0	10.0	
168.326	2007.0	10.0	
168.388	2008.0	10.0	
168.45	2009.0	10.1	
168.497	2010.0	10.1	
168.627	2011.0	10.1	
168.701	2012.0	10.1	
168.79	2013.0	10.1	
168.861	2014.0	10.1	
168.934	2015.0	10.1	
168.967	2016.0	10.1	
169.003	2017.0	10.1	
169.06	2018.0	10.1	
169.167	2019.0	10.1	
169.226	2020.0	10.1	
169.317	2021.0	10.1	
169.409	2022.0	10.1	
169.467	2023.0	10.1	
169.54	2024.0	10.1	
169.598	2025.0	10.1	
169.655	2026.0	10.1	
169.761	2027.0	10.1	
169.79	2028.0	10.1	
169.861	2029.0	10.1	
169.917	2030.0	10.1	
169.941	2031.0	10.1	
169.995	2032.0	10.1	
170.071	2033.0	10.1	
170.105	2034.0	10.1	
170.222	2035.0	10.2	
170.314	2036.0	10.3	
170.368	2037.0	10.3	
170.436	2038.0	10.3	
170.488	2039.0	10.3	
170.57	2040.0	10.3	
