depth,dep
150.105,18.4
150.125,15.89
150.145,16.42
150.165,16.58
150.185,17.91
150.205,18.01
150.225,18.24
150.245,17.72
150.265,16.67
150.285,16.49
150.305,21.04
150.325,21.3
150.345,19.22
150.365,20.31
150.385,21.44
150.405,21.07
150.425,22.17
150.445,24.11
150.465,22.85
150.485,21.58
150.505,19.85
150.525,18.82
150.545,16.14
150.565,17.38
150.585,18.34
150.605,18.66
150.625,19.36
150.645,20.09
150.665,19.94
150.685,19.85
150.705,19.53
150.725,18.29
150.745,19.21
150.765,17.65
150.785,17.0
150.805,17.95
150.825,19.43
150.845,19.29
150.865,19.81
150.885,18.04
150.905,17.7
150.925,15.89
150.945,20.53
150.965,21.3
150.985,19.26
151.005,19.39
151.025,19.16
151.045,19.33
151.065,20.42
151.085,20.01
151.105,19.71
151.125,19.32
151.145,20.61
151.165,21.08
151.185,21.49
151.205,21.24
151.225,21.58
151.245,21.1
151.265,19.91
151.285,18.94
151.305,18.99
151.325,17.74
151.345,17.63
151.365,18.94
151.385,18.88
151.405,20.18
151.425,22.17
151.445,22.19
151.465,21.41
151.485,19.8
151.505,21.31
151.525,19.64
151.54,16.42
151.56,17.11
151.58,18.84
151.6,18.42
151.62,18.43
151.64,20.37
151.66,19.19
151.68,19.82
151.7,20.75
151.72,19.25
151.74,18.24
151.76,18.38
151.78,17.82
151.8,18.32
151.82,19.1
151.84,21.7
151.86,22.6
151.88,22.71
151.9,20.98
151.92,20.57
151.94,18.46
151.96,19.11
151.98,18.08
152.0,18.34
152.02,19.1
152.04,20.96
152.06,21.68
152.08,23.43
152.1,23.47
152.12,22.3
152.14,22.71
152.16,21.95
152.18,18.89
152.2,16.26
152.22,12.93
152.24,12.88
152.26,16.2
152.28,18.52
152.3,19.53
152.32,20.6
152.34,20.22
152.36,19.93
152.38,19.42
152.4,19.37
152.42,17.8
152.44,17.89
152.46,17.5
152.48,18.65
152.5,17.59
152.52,19.33
152.54,20.18
152.56,22.82
152.58,22.45
152.6,23.21
152.62,22.04
152.64,22.46
152.66,21.35
152.68,18.73
152.7,18.25
152.72,17.98
152.74,18.35
152.76,19.19
152.78,20.09
152.8,22.05
152.82,21.19
152.84,21.67
152.86,23.41
152.88,21.75
152.9,18.13
152.92,17.65
152.94,17.31
152.96,17.95
152.98,17.4
153.0,18.22
153.02,18.76
153.04,18.75
153.06,19.12
153.08,20.86
153.1,21.36
153.12,22.81
153.14,21.99
153.16,21.16
153.18,20.44
153.2,21.16
153.22,19.65
153.24,17.97
153.26,17.15
153.28,14.81
153.3,19.72
153.32,19.21
153.34,20.75
153.36,19.96
153.38,20.09
153.4,18.38
153.42,17.8
153.44,18.27
153.46,18.44
153.48,18.72
153.5,18.68
153.52,18.28
153.54,20.02
153.56,20.91
153.58,19.65
153.6,18.48
153.62,17.37
153.64,16.34
153.66,16.26
153.68,16.49
153.7,17.58
153.72,17.93
153.74,19.12
153.76,18.91
153.78,18.8
153.8,14.82
153.82,20.14
153.84,20.74
153.86,18.91
153.88,18.18
153.9,18.47
153.92,19.24
153.94,21.02
153.96,22.22
153.98,22.85
154.0,18.89
154.02,17.03
154.04,21.25
154.06,21.14
