GISP2 Electrical Conductivity Measurements

REFERENCES: 

Taylor, K.C., R.B. Alley, G.W. Lamorey, and P.A. Mayewski. 1997. Electrical
measurements on the Greenland Ice Sheet Project 2 core. Journal of
Geophysical Research 102:26511-26517.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Chylek, P., B. Johnson, P.A. Damiano, K.C. Taylor, and P. Clement. 1995.
Biomass burning record and black carbon in the GISP2 ice core. Geophysical
Research Letters 22:89-92.

Taylor, K.C., G.W. Lamorey, G.A. Doyle, R.B. Alley, P.M. Grootes, P.A.
Mayewski, J.W.C. White, and L.K. Barlow. 1993. The 'flickering switch' of
late Pleistocene climate change. Nature 361:432-436.

Taylor, K.C., R.B. Alley, R.J. Fiacco, P.M. Grootes, G.W. Lamorey, P.A.
Mayewski, and M.J. Spencer. 1992. Ice core dating and chemistry by direct
current electrical conductivity. Journal of Glaciology 38:325-332.

DATA DESCRIPTION: 

The ECM file ECMage.dat represents 0.5 meter averages of the data in the
b****.dat and d****.dat files.  The GISP2 B core was used for the first
100 meters; the D core thereafter.  All depths are D core depths, ages are
on the Meese/Sowers timescale.  See ECMinfo.txt and depthage.dat for
further information. 

DATA: 

Depth	ECM	Age
Top (m)	microamps	Top (yr BP 1950)
		
184.57	17.8324	625.9
185.12	14.83	628.1
185.67	19.0376	630.9
186.22	19.378	633.1
186.78	18.9734	635.4
187.34	18.166	637.8
187.96	14.9746	640.5
188.56	16.9166	643.3
189.13	20.8702	645.4
189.75	23.073	648.3
190.33	21.6332	651.1
190.89	24.6068	653.3
191.44	21.1708	655.7
192	24.861	658.5
192.56	24.6306	660.7
193.11	28.221	663.4
193.66	24.4412	665.3
194.23	18.4876	668.0
194.82	22.8898	670.5
195.39	24.763	673.0
195.99	23.6174	675.6
196.55	28.2612	677.8
197.1	27.3872	680.1
197.65	26.6096	682.7
198.2	26.2012	685.3
198.75	24.2302	687.6
199.3	28.8192	690.2
199.89	33.4082	692.7
200.45	23.5894	695.2
201.01	23.675	698.4
201.56	21.3646	700.8
202.11	22.174	703.2
202.66	26.8724	705.6
203.22	23.41	707.7
203.81	23.9192	710.2
204.36	24.6236	712.8
204.91	25.8056	715.4
205.46	23.9766	717.7
206.01	28.869	720.1
206.59	23.0462	722.7
207.14	20.3668	725.4
207.7	25.1752	728.1
208.27	23.272	731.4
208.85	21.0164	734.0
209.44	23.3682	736.3
210.01	13.005	738.8
210.56	9.9026	742.8
211.11	15.5186	745.0
211.68	27.2312	747.6
212.24	29.5634	749.8
212.81	35.3464	752.6
213.39	27.823	755.3
213.94	27.6312	758.1
214.49	21.3268	760.4
215.05	19.466	763.0
215.61	24.8704	765.5
216.16	26.0906	768.1
216.71	30.4316	770.7
217.26	28.905	773.1
217.81	22.6294	775.9
218.36	20.93	778.9
218.91	25.7718	781.0
219.48	29.4632	783.8
220.09	23.4982	787.0
220.72	20.7018	789.7
221.31	24.3934	792.2
221.86	23.896	794.3
222.41	23.7844	796.9
223	22.3216	799.6
223.55	23.277	801.9
224.13	26.4068	804.3
224.73	24.599	806.9
225.28	25.1234	808.9
225.83	25.1904	811.2
226.39	27.4482	813.5
226.98	26.2394	815.7
227.55	22.677	818.2
228.11	25.9414	820.4
228.67	21.1678	822.7
229.22	26.2332	825.2
229.8	25.5206	827.8
230.35	22.1814	830.7
230.89	22.4468	833.3
231.44	21.7708	835.2
232	28.6754	837.5
232.55	27.8164	839.5
233.1	27.2796	841.9
233.65	40.2752	844.2
234.2	25.376	846.7
234.77	25.2772	849.1
235.33	27.185	851.5
235.91	28.3696	854.2
236.46	24.0566	856.1
237.01	17.0734	857.9
238.8	21.1374	866.3
240.58	23.7518	874.9
241.15	20.4704	878.3
241.72	24.4032	880.8
242.27	26.9874	883.4
242.82	21.5708	885.6
243.37	26.4304	887.6
243.92	27.0038	889.5
244.6	23.0348	892.9
245.29	24.4518	895.3
245.88	26.526	898.0
246.53	27.5236	901.1
247.19	22.999	903.8
247.78	24.2102	906.0
248.34	20.3998	908.2
248.91	22.3534	910.3
249.48	23.0336	912.8
250.08	24.391	915.4
250.66	25.5424	918.1
251.21	27.5694	921.4
251.78	28.1212	923.8
252.34	20.119	926.5
252.93	23.1098	928.6
253.52	24.3238	931.1
254.09	25.906	932.7
254.69	25.4726	935.1
255.25	28.3566	937.8
255.8	26.4296	940.2
256.35	26.3434	942.5
256.89	25.3832	944.9
257.44	26.3202	947.3
258	26.0872	949.7
258.56	22.989	951.6
259.11	15.92	954.1
259.73	23.84	956.7
260.35	19.5048	959.8
261.03	19.188	963.4
261.71	25.0174	966.6
262.3	28.329	968.8
262.85	25.8582	971.1
263.4	29.062	973.5
263.95	26.1262	975.7
264.5	22.6448	978.0
265.1	25.1536	980.6
265.7	24.585	982.8
266.26	24.192	985.6
266.83	26.132	988.0
267.43	26.3908	990.6
268.09	24.723	993.8
268.78	21.964	996.8
269.4	22.9896	999.3
269.95	26.3866	1001.7
270.5	24.2378	1004.1
271.05	24.6118	1006.7
271.6	27.2604	1009.0
272.17	40.1952	1011.2
272.72	25.304	1013.2
273.27	21.1316	1015.4
273.82	24.0418	1017.7
274.38	26.1436	1020.5
274.97	25.1156	1022.9
275.55	27.5116	1025.8
276.11	24.483	1028.1
276.68	23.0844	1030.7
277.23	23.9116	1033.2
277.8	25.179	1035.8
278.38	24.0658	1038.5
278.94	26.8876	1041.3
279.57	28.3592	1044.3
280.21	26.9408	1047.2
280.8	24.8916	1049.8
281.36	25.8836	1052.1
281.91	32.0668	1054.5
282.46	26.272	1056.9
283.03	27.4276	1059.4
283.62	28.583	1061.7
284.19	24.968	1064.6
284.75	26.4284	1067.2
285.31	31.1758	1069.5
285.91	24.3918	1071.6
286.51	20.5112	1073.8
287.06	20.7448	1076.9
287.61	22.0746	1079.0
288.16	23.987	1081.8
288.71	21.154	1084.1
289.27	20.6548	1087.0
289.82	29.2128	1089.2
290.38	27.7904	1091.4
290.94	33.6592	1093.9
291.51	28.089	1096.3
292.07	23.8326	1098.5
292.62	26.613	1100.8
293.2	23.2742	1103.3
293.75	26.4622	1105.4
294.3	27.3474	1107.6
294.85	28.3598	1110.4
295.4	25.166	1112.9
295.95	23.081	1114.8
296.5	27.178	1117.5
297.06	23.861	1120.3
297.63	29.8564	1122.6
298.22	29.0036	1125.1
298.84	34.4128	1127.7
299.53	34.0042	1130.6
300.19	23.843	1132.9
300.79	28.3408	1135.4
301.64	31.91	1138.9
302.46	27.4334	1142.2
303.01	25.1636	1145.0
303.56	26.8836	1147.5
