# DOI: 10.5194/cp-7-1-2011
# Depth	Age	CH4	CH4_err
1015.335	34806	498.0	10.0
1015.575	34832	507.6	10.0
1017.615	34995	534.0	10.0
1017.645	34998	515.0	10.0
1017.675	35000	527.3	10.0
1017.975	35023	526.4	10.0
1021.280	35252	535.3	10.0
1021.975	35292	569.1	18.6
1023.015	35354	518.3	10.0
1023.045	35356	538.0	10.0
1023.075	35357	531.0	10.0
1023.105	35359	543.7	10.0
1023.575	35385	517.3	10.0
1025.615	35504	440.3	10.0
1025.975	35526	415.1	10.0
1027.305	35629	426.3	10.0
1027.335	35631	431.7	10.0
1027.575	35650	422.6	10.0
1029.280	35780	437.3	10.0
1029.975	35836	420.0	10.0
1033.615	36134	437.7	10.0
1033.645	36137	433.3	10.0
1033.975	36164	427.6	10.0
1035.015	36247	448.3	10.0
1035.045	36250	452.0	10.0
1035.075	36253	444.0	10.0
1035.575	36299	443.5	10.0
1037.280	36442	458.3	10.0
1037.975	36502	448.2	10.0
1039.305	36608	508.7	10.0
1039.575	36631	498.7	10.0
1041.615	36800	536.3	10.0
1041.975	36827	509.6	17.3
1045.280	37079	545.7	10.0
1045.975	37139	566.3	19.8
1047.015	37217	582.7	10.0
1047.045	37219	566.0	10.0
1047.575	37256	558.7	10.0
1049.615	37397	578.3	10.0
1049.975	37423	563.7	10.0
1051.305	37545	565.0	10.0
1051.525	37564	567.6	10.0
1053.280	37712	564.0	10.0
1053.310	37714	560.0	10.0
1053.975	37770	544.5	10.0
1057.615	38032	568.0	10.0
1057.975	38055	569.9	10.0
1059.015	38117	496.7	10.0
1059.045	38118	501.0	10.0
1059.575	38151	448.3	10.0
1061.975	38292	432.4	10.0
1063.525	38361	449.5	13.9
1065.615	38439	447.0	10.0
1065.975	38452	443.7	10.0
1069.975	38612	421.4	10.0
1071.015	38646	436.7	10.0
1071.045	38649	445.0	10.0
1071.075	38652	439.0	10.0
1073.615	38919	447.7	10.0
1073.645	38922	437.0	10.0
1073.975	38958	439.3	10.0
1075.575	39135	439.3	10.0
1077.975	39380	408.0	10.0
1081.615	39736	424.3	10.0
1081.975	39767	411.1	11.1
1083.015	39847	431.3	10.0
1083.045	39850	434.0	10.0
1083.075	39852	462.0	10.0
1083.575	39891	449.9	10.9
1085.975	40069	434.5	10.0
1087.575	40197	417.5	10.0
1089.615	40365	414.7	10.0
1089.975	40396	410.2	12.3
1093.975	40747	426.7	10.0
1095.015	40844	452.0	10.0
1095.045	40847	460.0	10.0
1095.075	40849	458.0	10.0
1095.575	40895	459.0	10.9
1097.615	41256	496.3	10.0
1097.645	41262	477.0	10.0
1097.675	41268	481.0	10.0
1097.975	41327	469.9	19.0
1099.015	41525	416.3	10.0
1099.575	41622	406.5	10.0
1105.975	41941	400.5	11.0
1107.015	41976	412.7	10.0
1107.045	41977	409.0	10.0
1111.575	42065	428.8	10.0
1113.975	42271	481.9	10.0
1117.615	42684	491.0	10.0
1117.645	42687	493.0	10.0
1117.975	42728	465.4	10.0
1119.015	42860	495.0	10.0
1119.045	42864	488.0	10.0
1119.575	42930	489.7	10.0
1121.975	43180	480.4	10.0
1123.575	43326	487.2	10.0
1125.615	43520	425.3	10.0
1125.975	43554	399.9	10.0
1129.975	43904	418.3	10.0
1132.015	44075	423.7	10.0
1132.595	44129	421.3	10.0
1133.615	44222	421.7	10.0
1133.645	44225	421.0	10.0
1133.975	44254	422.1	15.9
1135.575	44410	457.4	19.6
1137.975	44635	449.0	10.0
1141.645	44968	454.0	10.0
1141.675	44971	450.0	10.0
1141.975	44998	446.6	10.0
1143.015	45091	470.3	10.0
1143.045	45094	470.0	10.0
1143.575	45142	486.7	10.8
1145.975	45353	463.1	10.0
1147.575	45465	477.8	14.6
1149.615	45608	478.3	10.0
1149.645	45610	473.0	10.0
1149.975	45633	477.8	14.6
1153.975	45979	511.9	10.0
1155.015	46065	525.0	10.0
1155.045	46068	505.0	10.0
1155.075	46071	510.0	10.0
1155.575	46115	508.9	10.0
1157.615	46287	512.3	10.0
1157.975	46317	507.0	10.0
1159.475	46438	492.1	10.0
1161.975	46624	500.8	10.0
1165.615	46862	535.7	10.0
1165.645	46864	523.0	10.0
1165.975	46887	515.6	10.0
1167.015	46953	541.0	10.0
1167.045	46955	527.3	10.0
1167.075	46957	533.0	10.0
1167.105	46959	528.0	10.0
1167.575	46991	493.4	10.0
1169.975	47166	497.6	15.2
1171.575	47290	439.9	10.0
1173.615	47470	458.3	10.0
1173.645	47473	443.0	10.0
1173.975	47505	454.8	10.0
1177.975	47875	437.3	10.0
1179.015	47979	460.0	10.0
1179.045	47981	454.0	10.0
1179.575	48031	453.1	10.0
1181.615	48229	453.3	10.0
1181.645	48232	453.0	10.0
1181.975	48265	462.8	13.0
1183.525	48419	409.0	10.0
1185.975	48681	409.1	10.0
1189.615	49085	471.7	10.0
1189.645	49088	463.0	10.0
1189.675	49091	467.0	10.0
1189.705	49095	465.0	10.0
1189.975	49124	473.8	10.0
1191.015	49240	478.0	10.0
1191.575	49302	464.2	10.7
1193.975	49553	424.6	10.0
1195.575	49720	452.4	10.0
1197.615	49937	462.0	10.0
1197.975	49976	470.7	10.0
1203.015	50523	491.7	10.0
1203.045	50526	489.0	10.0
1203.575	50585	487.1	10.0
1209.975	51304	513.2	10.0
1213.615	51725	535.0	10.0
1213.975	51767	526.4	10.0
1215.015	51883	538.0	10.0
1215.575	51947	534.9	10.0
1217.975	52235	540.1	10.0
1219.575	52431	547.3	10.0
1221.615	52688	546.3	10.0
1221.975	52735	542.2	12.6
1227.015	53366	517.7	10.0
1227.045	53370	535.0	10.0
1227.575	53436	548.7	10.0
1229.975	53744	438.0	10.0
1231.525	53957	422.1	10.0
1233.615	54263	455.0	10.0
1233.975	54318	461.6	10.0
1237.975	54941	515.9	11.2
1239.015	55113	558.3	10.0
1239.045	55116	552.0	10.0
1239.075	55120	563.0	10.0
1239.575	55183	470.8	10.0
1241.615	55444	466.0	10.0
1241.645	55448	463.0	10.0
1241.675	55452	459.0	10.0
1241.975	55491	461.5	10.0
1243.305	55666	477.7	10.0
1243.525	55696	474.0	10.0
1249.280	56492	565.0	10.0
1249.975	56592	541.0	20.0
1251.015	56742	580.3	10.0
1251.575	56824	574.7	10.0
1253.615	57125	565.3	10.0
1253.645	57130	572.0	10.0
1253.675	57134	570.0	10.0
1253.705	57139	563.7	10.0
1253.975	57179	559.4	10.0
1255.305	57379	564.0	10.0
1255.525	57412	528.9	11.0
1261.280	58397	492.0	10.0
