,depth,deporate,rel_unc,comment
357,831.729,0.2513,0.2,
358,833.687,0.2569,0.2,
359,835.795,0.261,0.2,
360,838.036,0.2735,0.2,
361,840.261,0.2702,0.2,
362,842.544,0.2731,0.2,
363,844.687,0.2678,0.2,
364,846.916,0.2639,0.2,
365,849.112,0.2657,0.2,
366,851.054,0.2626,0.2,
367,853.203,0.2567,0.2,
368,855.383,0.2645,0.2,
369,857.473,0.266,0.2,
370,859.676,0.2649,0.2,
371,861.917,0.2631,0.2,
372,863.939,0.2668,0.2,
373,866.086,0.2665,0.2,
374,868.267,0.2649,0.2,
375,870.376,0.2634,0.2,
376,872.498,0.2549,0.2,
377,874.567,0.2564,0.2,
378,876.458,0.2554,0.2,
379,878.716,0.2511,0.2,
380,880.741,0.2574,0.2,
381,882.681,0.252,0.2,
382,884.681,0.2515,0.2,
383,886.823,0.2528,0.2,
384,888.885,0.2595,0.2,
385,890.919,0.2701,0.2,
386,893.228,0.2734,0.2,
387,895.428,0.2729,0.2,
388,897.527,0.2706,0.2,
389,899.663,0.2678,0.2,
390,901.913,0.2685,0.2,
391,904.01,0.2614,0.2,
392,905.95,0.2594,0.2,
393,908.048,0.261,0.2,
394,910.151,0.2679,0.2,
395,912.402,0.2645,0.2,
396,914.506,0.2681,0.2,
397,916.544,0.2624,0.2,
398,918.69,0.2536,0.2,
399,920.748,0.2486,0.2,
400,922.517,0.2462,0.2,
401,924.549,0.2508,0.2,
402,926.592,0.2565,0.2,
403,928.573,0.262,0.2,
404,930.781,0.262,0.2,
405,932.787,0.266,0.2,
406,934.884,0.2567,0.2,
407,936.895,0.2556,0.2,
408,938.882,0.2571,0.2,
409,940.897,0.26,0.2,
410,943.059,0.2592,0.2,
411,945.041,0.2539,0.2,
412,947.004,0.2522,0.2,
413,948.921,0.25,0.2,
414,951.031,0.2563,0.2,
415,952.895,0.2602,0.2,
416,954.995,0.2595,0.2,
417,957.085,0.2577,0.2,
418,959.083,0.248,0.2,
419,960.992,0.2468,0.2,
420,962.782,0.2442,0.2,
421,964.836,0.2496,0.2,
422,966.704,0.2586,0.2,
423,968.776,0.2618,0.2,
424,970.913,0.2705,0.2,
425,972.966,0.2709,0.2,
426,975.193,0.259,0.2,
427,977.106,0.2619,0.2,
428,979.12,0.2559,0.2,
429,981.133,0.2584,0.2,
430,983.125,0.2658,0.2,
431,985.19,0.2636,0.2,
432,987.306,0.2547,0.2,
433,989.247,0.2462,0.2,
434,991.018,0.2406,0.2,
435,992.845,0.2479,0.2,
