depth,ecm2
381.15,1.7203
381.7,1.7894
382.25,1.2936
382.8,1.432
383.35,2.3164
383.9,2.0355
384.45,2.1147
385.0,1.7614
385.55,1.1611
386.1,1.193
386.65,1.2096
387.2,1.3354
387.75,0.9811
388.3,0.957
388.85,1.2716
389.4,1.9852
389.95,1.1758
390.5,1.689
391.05,1.4202
391.6,1.7823
392.15,1.4425
392.7,1.3902
393.25,1.3385
393.8,1.8825
394.35,1.2104
394.9,1.503
395.45,1.2089
396.0,1.4072
396.55,1.315
397.1,1.1337
397.65,0.8604
398.2,0.8623
398.75,1.2412
399.3,1.1269
399.85,1.0752
400.4,1.1932
400.95,0.8399
401.5,1.0727
402.05,1.4225
402.6,1.4859
403.15,1.1886
403.7,1.053
404.25,1.1542
404.8,1.2504
405.35,2.0135
405.9,1.4927
406.45,0.9737
407.0,1.28
407.55,1.1082
408.1,1.0204
408.65,1.4799
409.2,0.9842
409.75,1.4475
410.3,1.3009
410.85,1.3655
411.4,1.0542
411.95,1.627
412.5,1.8367
413.05,2.8614
413.6,1.0673
414.15,1.0918
414.7,1.1562
415.25,0.844
415.8,1.3374
416.35,1.1267
416.9,1.1856
417.45,1.3927
418.0,1.6304
418.55,1.0677
419.1,1.2062
419.65,1.4513
420.2,1.9028
420.75,1.5029
421.3,1.6907
421.85,1.3774
422.4,1.4037
422.95,1.3284
423.5,1.0403
424.05,1.4243
424.6,1.3301
425.15,1.3176
425.7,1.4542
426.25,1.269
426.8,1.3563
427.35,1.0603
427.9,1.6283
428.45,1.5285
429.0,1.897
429.55,1.1998
430.1,0.7873
430.65,1.3939
431.2,1.3896
431.75,1.1905
432.3,1.1026
432.85,1.4116
433.4,1.7396
433.95,1.9996
434.5,1.8668
435.05,1.3343
435.6,1.2256
436.15,1.2094
436.7,1.2008
437.25,1.1191
437.8,1.6765
438.35,0.935
438.9,1.2676
439.45,1.3949
440.0,1.4372
440.55,1.4169
441.1,0.9802
441.65,1.013
442.2,1.3702
442.75,1.3468
443.3,1.4697
443.85,1.6967
444.4,2.6493
444.95,2.2337
445.5,1.6032
446.05,1.9034
446.6,1.5471
447.15,1.2995
447.7,1.2009
448.25,1.3338
448.8,1.2465
449.35,1.4373
449.9,1.4429
450.45,2.1277
451.0,1.8637
451.55,1.6979
452.1,1.8563
452.65,0.8859
453.2,1.3794
453.75,1.4746
454.3,1.2711
454.85,4.3196
455.4,3.1878
455.95,1.6907
456.5,1.5747
457.05,1.3688
457.6,1.8172
458.15,1.3637
458.7,1.3445
459.25,1.2659
459.8,1.5665
460.35,1.7605
460.9,1.8622
461.45,2.5016
462.0,2.0894
462.55,1.9689
463.1,1.2376
463.65,1.0909
464.2,1.3364
464.75,1.1786
465.3,1.4636
465.85,1.4685
466.4,1.2897
466.95,1.2615
467.5,1.1678
468.05,1.5304
468.6,1.6528
471.35,1.4374
471.9,1.3772
472.45,1.7471
473.0,1.4554
473.55,2.1911
474.1,2.9095
474.65,1.9703
475.2,1.7392
475.75,2.1264
476.3,1.1844
476.85,0.8471
477.4,1.1376
477.95,1.0184
478.5,1.7186
479.05,1.548
479.6,0.992
480.15,0.6536
480.7,0.6335
481.25,0.8148
481.8,0.3985
482.35,0.929
482.9,0.7195
483.45,0.8575
484.0,1.2236
484.55,1.3058
485.1,1.0921
485.65,1.2704
486.2,1.297
486.75,0.9102
487.3,1.07
487.85,1.1406
488.4,0.9338
488.95,1.1888
489.5,0.9492
490.05,0.9358
490.6,0.6951
491.15,0.8
491.7,0.9869
492.25,1.1479
492.8,5.0221
493.35,1.2496
493.9,0.8045
494.45,1.3596
495.0,1.0028
495.55,0.6511
496.1,0.8129
496.65,0.7697
497.2,0.7108
497.75,0.8094
498.3,0.7664
498.85,1.1688
499.4,1.2799
499.95,1.0995
500.5,0.8985
501.05,1.1884
501.6,1.0047
502.15,1.3677
502.7,1.4753
503.25,1.3597
503.8,0.731
504.35,0.825
504.9,1.0053
505.45,0.7679
506.0,0.9341
506.55,0.7448
507.1,0.9591
507.65,0.6406
508.2,0.521
508.75,0.837
509.3,0.7517
509.85,1.082
510.4,0.7523
510.95,0.9601
511.5,1.044
512.05,1.1637
512.6,0.9616
513.15,1.8401
513.7,0.7905
514.25,0.8285
514.8,0.8962
515.35,0.8908
515.9,0.9302
516.45,0.6586
517.0,0.7928
517.55,0.8523
518.1,1.2592
518.65,1.3522
519.2,1.0599
519.75,1.2933
520.3,1.3863
520.85,1.3348
521.4,0.9342
521.95,1.4072
522.5,1.5397
523.05,1.8082
523.6,0.8273
524.15,0.8885
524.7,1.5776
525.25,1.0918
525.8,1.4501
526.35,4.4574
526.9,1.199
527.45,1.2603
528.0,1.2882
528.55,1.5536
529.1,1.644
529.65,1.4201
530.2,1.2058
530.75,1.4995
531.3,1.625
531.85,1.2197
532.4,1.5743
532.95,1.1606
533.5,0.6374
534.05,1.1989
534.6,0.961
535.15,0.6496
535.7,1.0626
536.25,1.4836
536.8,1.2072
537.35,0.861
537.9,1.5253
538.45,2.2655
539.0,1.6624
539.55,1.1115
540.1,0.9126
540.65,0.9655
541.2,0.8953
541.75,1.4349
542.3,1.3661
542.85,1.5061
543.4,1.1354
543.95,1.2115
544.5,1.1811
545.05,0.8008
546.7,0.5743
547.25,1.277
547.8,1.0702
548.35,1.0642
548.9,0.9928
549.45,1.3283
550.0,1.459
550.55,1.19
551.1,1.7359
551.65,0.8952
552.2,1.1795
552.75,1.2587
553.3,2.7848
553.85,1.5283
554.4,1.1953
554.95,1.2917
555.5,0.8411
556.05,1.0727
556.6,1.049
557.15,0.9179
557.7,0.9847
558.25,0.5981
558.8,0.9479
559.35,1.1806
559.9,0.6332
560.45,1.1103
561.0,0.9197
561.55,1.0427
562.1,1.2564
562.65,0.7274
563.2,1.4734
563.75,1.4582
564.3,1.1649
564.85,1.145
565.4,1.2956
565.95,1.1446
566.5,1.6013
567.05,1.4435
567.6,1.3205
568.15,1.4231
568.7,1.8697
569.25,1.719
569.8,1.3621
570.35,1.3341
570.9,1.3218
571.45,1.4268
572.0,2.0153
572.55,1.5178
573.1,1.5962
573.65,1.6973
574.2,1.9901
574.75,1.5601
575.3,1.0415
575.85,0.8352
576.4,1.5551
576.95,1.4865
577.5,1.3529
578.05,1.3585
578.6,1.2561
579.15,1.2998
579.7,1.4605
580.25,2.6483
580.8,1.6776
581.35,1.6561
581.9,1.5866
582.45,0.7688
583.0,0.9155
583.55,1.1874
584.1,0.9459
584.65,1.0038
585.2,1.2121
585.75,2.9063
586.3,3.7419
586.85,2.5636
587.4,0.7953
587.95,1.0952
588.5,1.373
589.05,0.9164
589.6,0.6161
590.15,1.2233
590.7,0.9537
591.25,0.9754
591.8,0.8601
592.35,1.1308
592.9,1.2752
593.45,0.9463
594.0,0.7648
594.55,1.1275
595.1,1.3421
595.65,1.0517
596.2,1.155
596.75,0.8915
597.3,0.9987
597.85,1.204
598.4,1.7551
