depth	thinning	rel_unc	comment
473.550000	0.894200	0.144917	
475.200000	0.893200	0.145462	
476.850000	0.892200	0.146007	
478.500000	0.891100	0.146552	
480.150000	0.890200	0.147097	
481.800000	0.889300	0.147642	
483.450000	0.888300	0.148187	
485.100000	0.887200	0.148732	
486.750000	0.886300	0.149277	
488.400000	0.885600	0.149822	
490.050000	0.884900	0.150367	
491.700000	0.884200	0.150911	
493.350000	0.883400	0.151456	
495.000000	0.882600	0.152001	
496.650000	0.881900	0.152546	
498.300000	0.881200	0.153091	
499.950000	0.880400	0.153636	
501.600000	0.879600	0.154181	
503.250000	0.878900	0.154726	
504.900000	0.878300	0.155271	
506.550000	0.877500	0.155816	
508.200000	0.876800	0.156361	
509.850000	0.875900	0.156906	
511.500000	0.875300	0.157450	
513.150000	0.874400	0.157995	
514.800000	0.873800	0.158540	
516.450000	0.873100	0.159085	
518.100000	0.872400	0.159630	
519.750000	0.871700	0.160175	
521.400000	0.871000	0.160720	
523.050000	0.870200	0.161265	
524.700000	0.869500	0.161810	
526.350000	0.868800	0.162355	
528.000000	0.868000	0.162900	
529.650000	0.867300	0.163445	
531.300000	0.866600	0.163989	
532.950000	0.866000	0.164534	
534.600000	0.865200	0.165079	
536.250000	0.864500	0.165624	
537.900000	0.863900	0.166169	
539.550000	0.863400	0.166714	
541.200000	0.862600	0.167259	
542.850000	0.861800	0.167804	
544.500000	0.861100	0.168349	
546.150000	0.860600	0.168894	
547.800000	0.859900	0.169439	
549.450000	0.859100	0.169983	
551.100000	0.858600	0.170528	
552.750000	0.857900	0.171073	
554.400000	0.857100	0.171618	
556.050000	0.856400	0.172163	
557.700000	0.855800	0.172708	
559.350000	0.855100	0.173253	
561.000000	0.854400	0.173798	
562.650000	0.853600	0.174343	
564.300000	0.853000	0.174888	
565.950000	0.852300	0.175433	
567.600000	0.851700	0.175978	
569.250000	0.851100	0.176522	
570.900000	0.850500	0.177067	
572.550000	0.849800	0.177612	
574.200000	0.849200	0.178157	
575.850000	0.848700	0.178702	
577.500000	0.848100	0.179247	
579.150000	0.847200	0.179792	
580.800000	0.847000	0.180337	
582.450000	0.846000	0.180882	
584.100000	0.845900	0.181427	
585.750000	0.845300	0.181972	
587.400000	0.845200	0.182517	
589.050000	0.845000	0.183061	
590.700000	0.844400	0.183606	
592.350000	0.843000	0.184151	
594.000000	0.842900	0.184696	
595.650000	0.842400	0.185241	
597.300000	0.842100	0.185786	
598.950000	0.841500	0.186331	
600.600000	0.841300	0.186876	
602.250000	0.841000	0.187421	
603.900000	0.840400	0.187966	
605.550000	0.839500	0.188511	
607.200000	0.838500	0.189055	
608.850000	0.838000	0.189600	
610.500000	0.837700	0.190145	
612.150000	0.836800	0.190690	
613.800000	0.836000	0.191235	
615.450000	0.835800	0.191780	
617.100000	0.835600	0.192325	
618.750000	0.834900	0.192870	
620.400000	0.834100	0.193415	
622.050000	0.833400	0.193960	
623.700000	0.832500	0.194505	
625.350000	0.831400	0.195050	
627.000000	0.831600	0.195594	
628.650000	0.831300	0.196139	
630.300000	0.830500	0.196684	
631.950000	0.830200	0.197229	
633.600000	0.829800	0.197774	
635.250000	0.829600	0.198319	
636.900000	0.829300	0.198864	
638.550000	0.827800	0.199409	
640.200000	0.826700	0.199954	
641.850000	0.826300	0.200499	
643.500000	0.825200	0.201044	
645.150000	0.825200	0.201589	
646.800000	0.823300	0.202133	
648.450000	0.822500	0.202678	
650.100000	0.822500	0.203223	
651.750000	0.822500	0.203768	
653.400000	0.821400	0.204313	
655.050000	0.819000	0.204858	
656.700000	0.819600	0.205403	
658.350000	0.818900	0.205948	
660.000000	0.818100	0.206493	
661.650000	0.817200	0.207038	
663.300000	0.816200	0.207583	
664.950000	0.815600	0.208127	
666.600000	0.814500	0.208672	
668.250000	0.813500	0.209217	
669.900000	0.813500	0.209762	
671.550000	0.813200	0.210307	
673.200000	0.812400	0.210852	
674.850000	0.811700	0.211397	
676.500000	0.811000	0.211942	
678.150000	0.809700	0.212487	
679.800000	0.808100	0.213032	
681.450000	0.807500	0.213577	
683.100000	0.807000	0.214122	
684.750000	0.806500	0.214666	
686.400000	0.806200	0.215211	
688.050000	0.805900	0.215756	
689.700000	0.805100	0.216301	
691.350000	0.803700	0.216846	
693.000000	0.801800	0.217391	
694.650000	0.800600	0.217936	
696.300000	0.800500	0.218481	
697.950000	0.800300	0.219026	
699.600000	0.799800	0.219571	
701.250000	0.799400	0.220116	
702.900000	0.799000	0.220661	
704.550000	0.798300	0.221205	
706.200000	0.797300	0.221750	
707.850000	0.796300	0.222295	
709.500000	0.795800	0.222840	
711.150000	0.795000	0.223385	
712.800000	0.794400	0.223930	
714.450000	0.793700	0.224475	
716.100000	0.793000	0.225020	
717.750000	0.792500	0.225565	
719.400000	0.791700	0.226110	
721.050000	0.791000	0.226655	
722.700000	0.790200	0.227199	
724.350000	0.789600	0.227744	
726.000000	0.788900	0.228289	
727.650000	0.788300	0.228834	
729.300000	0.787600	0.229379	
730.950000	0.786800	0.229924	
732.600000	0.786000	0.230469	
734.250000	0.785500	0.231014	
735.900000	0.785000	0.231559	
737.550000	0.784300	0.232104	
739.200000	0.783200	0.232649	
740.850000	0.782700	0.233194	
742.500000	0.781900	0.233738	
744.150000	0.781100	0.234283	
745.800000	0.779700	0.234828	
747.450000	0.779300	0.235373	
749.100000	0.779300	0.235918	
750.750000	0.778600	0.236463	
752.400000	0.777400	0.237008	
754.050000	0.776300	0.237553	
755.700000	0.775900	0.238098	
757.350000	0.775600	0.238643	
759.000000	0.775100	0.239188	
760.650000	0.774600	0.239732	
762.300000	0.774200	0.240277	
763.950000	0.773700	0.240822	
765.600000	0.772900	0.241367	
767.250000	0.772100	0.241912	
768.900000	0.771500	0.242457	
770.550000	0.771000	0.243002	
772.200000	0.770500	0.243547	
773.850000	0.769700	0.244092	
775.500000	0.769100	0.244637	
777.150000	0.768800	0.245182	
778.800000	0.767700	0.245727	
780.450000	0.766800	0.246271	
782.100000	0.765900	0.246816	
783.750000	0.765500	0.247361	
785.400000	0.764900	0.247906	
787.050000	0.764600	0.248451	
788.700000	0.764200	0.248996	
790.350000	0.763800	0.249541	
792.000000	0.763300	0.250086	
793.650000	0.762600	0.250631	
795.300000	0.762000	0.251176	
796.950000	0.760900	0.251721	
798.600000	0.759800	0.252266	
800.250000	0.758900	0.252810	
801.900000	0.758000	0.253355	
803.550000	0.757000	0.253900	
805.200000	0.755900	0.254445	
806.850000	0.754900	0.254990	
808.500000	0.754100	0.255535	
810.150000	0.753500	0.256080	
811.800000	0.752700	0.256625	
813.450000	0.752000	0.257170	
815.100000	0.751100	0.257715	
816.750000	0.750000	0.258260	
818.400000	0.749100	0.258804	
820.050000	0.748700	0.259349	
821.700000	0.748200	0.259894	
823.350000	0.747700	0.260439	
825.000000	0.747200	0.260984	
826.650000	0.746600	0.261529	
828.300000	0.745800	0.262074	
829.950000	0.744800	0.262619	
831.600000	0.743700	0.263164	
833.250000	0.743000	0.263709	
834.900000	0.742600	0.264254	
836.550000	0.741800	0.264799	
838.200000	0.740900	0.265343	
839.850000	0.740200	0.265888	
841.500000	0.739400	0.266433	
843.150000	0.738600	0.266978	
844.800000	0.737800	0.267523	
846.450000	0.737300	0.268068	
848.100000	0.736800	0.268613	
849.750000	0.736000	0.269158	
851.400000	0.735200	0.269703	
853.050000	0.734400	0.270248	
854.700000	0.733700	0.270793	
856.350000	0.733100	0.271338	
858.000000	0.732600	0.271882	
859.650000	0.731900	0.272427	
861.300000	0.731400	0.272972	
862.950000	0.730700	0.273517	
864.600000	0.730000	0.274062	
866.250000	0.729200	0.274607	
867.900000	0.728700	0.275152	
869.550000	0.728500	0.275697	
871.200000	0.728200	0.276242	
872.850000	0.727900	0.276787	
874.500000	0.727700	0.277332	
876.150000	0.727500	0.277876	
877.800000	0.727000	0.278421	
879.450000	0.726800	0.278966	
881.100000	0.726300	0.279511	
882.750000	0.725800	0.280056	
884.400000	0.725900	0.280601	
886.050000	0.725800	0.281146	
887.700000	0.725400	0.281691	
889.350000	0.724700	0.282236	
891.000000	0.724000	0.282781	
892.650000	0.723300	0.283326	
894.300000	0.722700	0.283871	
895.950000	0.722100	0.284415	
897.600000	0.721800	0.284960	
899.250000	0.721100	0.285505	
900.900000	0.720500	0.286050	
902.550000	0.720000	0.286595	
904.200000	0.719300	0.287140	
905.850000	0.718800	0.287685	
907.500000	0.717900	0.288230	
909.150000	0.717200	0.288775	
910.800000	0.717100	0.289320	
912.450000	0.717000	0.289865	
914.100000	0.716400	0.290410	
915.750000	0.715800	0.290954	
917.400000	0.715200	0.291499	
919.050000	0.715000	0.292044	
920.700000	0.714700	0.292589	
922.350000	0.713700	0.293134	
924.000000	0.713600	0.293679	
925.650000	0.713800	0.294224	
927.300000	0.714100	0.294769	
928.950000	0.714000	0.295314	
930.600000	0.713200	0.295859	
932.250000	0.713100	0.296404	
933.900000	0.713100	0.296948	
935.550000	0.712700	0.297493	
937.200000	0.713000	0.298038	
938.850000	0.712800	0.298583	
940.500000	0.712200	0.299128	
942.150000	0.711300	0.299673	
943.800000	0.710200	0.300218	
945.450000	0.709500	0.300763	
947.100000	0.709300	0.301308	
948.750000	0.708800	0.301853	
950.400000	0.708200	0.302398	
952.050000	0.707500	0.302943	
953.700000	0.706500	0.303487	
955.350000	0.705500	0.304032	
957.000000	0.704500	0.304577	
958.650000	0.703400	0.305122	
960.300000	0.702800	0.305667	
961.950000	0.702400	0.306212	
963.600000	0.701700	0.306757	
965.250000	0.701000	0.307302	
966.900000	0.700300	0.307847	
968.550000	0.699700	0.308392	
970.200000	0.698900	0.308937	
971.850000	0.698300	0.309482	
973.500000	0.697800	0.310026	
975.150000	0.697000	0.310571	
976.800000	0.696300	0.311116	
978.450000	0.695700	0.311661	
980.100000	0.694800	0.312206	
981.750000	0.694100	0.312751	
983.400000	0.693500	0.313296	
985.050000	0.692600	0.313841	
986.700000	0.691600	0.314386	
988.350000	0.690500	0.314931	
990.000000	0.689400	0.315476	
991.650000	0.688400	0.316020	
993.300000	0.687400	0.316565	
994.950000	0.686300	0.317110	
996.600000	0.685200	0.317655	
998.250000	0.684200	0.318200	
999.900000	0.683100	0.318745	
1001.550000	0.682200	0.319290	
1003.200000	0.681000	0.319835	
1004.850000	0.679800	0.320380	
1006.500000	0.678800	0.320925	
1008.150000	0.677900	0.321470	
1009.800000	0.677000	0.322015	
1011.450000	0.676200	0.322559	
1013.100000	0.675100	0.323104	
1014.750000	0.674100	0.323649	
1016.400000	0.673300	0.324194	
1018.050000	0.672500	0.324739	
1019.700000	0.672100	0.325284	
1021.350000	0.671400	0.325829	
1023.000000	0.670600	0.326374	
1024.650000	0.669800	0.326919	
1026.300000	0.669300	0.327464	
1027.950000	0.668500	0.328009	
1029.600000	0.667600	0.328554	
1031.250000	0.666800	0.329098	
1032.900000	0.666100	0.329643	
1034.550000	0.665300	0.330188	
1036.200000	0.664600	0.330733	
1037.850000	0.663300	0.331278	
1039.500000	0.662400	0.331823	
1041.150000	0.661500	0.332368	
1042.800000	0.660500	0.332913	
1044.450000	0.659600	0.333458	
1046.100000	0.658600	0.334003	
1047.750000	0.657700	0.334548	
1049.400000	0.656900	0.335092	
1051.050000	0.656100	0.335637	
1052.700000	0.655300	0.336182	
1054.350000	0.654500	0.336727	
1056.000000	0.653800	0.337272	
1057.650000	0.653100	0.337817	
1059.300000	0.652400	0.338362	
1060.950000	0.651600	0.338907	
1062.600000	0.651000	0.339452	
1064.250000	0.650300	0.339997	
1065.900000	0.649700	0.340542	
1067.550000	0.648900	0.341087	
1069.200000	0.648300	0.341631	
1070.850000	0.647700	0.342176	
1072.500000	0.646900	0.342721	
1074.150000	0.646300	0.343266	
1075.800000	0.645600	0.343811	
1077.450000	0.644800	0.344356	
1079.100000	0.644300	0.344901	
1080.750000	0.643800	0.345446	
1082.400000	0.643300	0.345991	
1084.050000	0.642600	0.346536	
1085.700000	0.641800	0.347081	
1087.350000	0.640900	0.347625	
1089.000000	0.640300	0.348170	
1090.650000	0.639800	0.348715	
1092.300000	0.639500	0.349260	
1093.950000	0.639000	0.349805	
1095.600000	0.638400	0.350350	
1097.250000	0.637800	0.350895	
1098.900000	0.637400	0.351440	
1100.550000	0.636800	0.351985	
1102.200000	0.636400	0.352530	
1103.850000	0.635900	0.353075	
1105.500000	0.635500	0.353620	
1107.150000	0.634900	0.354164	
1108.800000	0.634400	0.354709	
1110.450000	0.633600	0.355254	
1112.100000	0.632600	0.355799	
1113.750000	0.632100	0.356344	
1115.400000	0.631300	0.356889	
1117.050000	0.631000	0.357434	
