#created from Kadens firn model
depth	LID	rel_unc
628.61	68.26019219008401	0.2
632.51	68.23761586795246	0.2
636.43	68.16116536557516	0.2
640.06	68.05981775785565	0.2
643.75	67.99937761686854	0.2
647.42	68.02646783406452	0.2
651.01	67.8842437486623	0.2
654.78	67.71141205632881	0.2
658.67	67.73383435686581	0.2
662.17	67.77428369951468	0.2
665.67	67.86259719286394	0.2
669.48	67.9399251346723	0.2
673.13	67.9977456491595	0.2
676.96	67.96636589322597	0.2
680.43	68.02400407667088	0.2
683.62	68.08822107487816	0.2
686.85	68.04326724523604	0.2
690.15	67.87645200988206	0.2
693.56	67.64736126749773	0.2
696.86	67.5038545203746	0.2
700.43	67.40643075456762	0.2
704.41	67.30236633091565	0.2
707.47	67.25748077926546	0.2
710.82	67.1235671146172	0.2
714.39	66.94668358750384	0.2
717.77	66.9809261363487	0.2
721.23	67.0674499380207	0.2
724.57	66.99976239738407	0.2
728.04	67.00814924538037	0.2
731.33	67.2356738404604	0.2
734.78	67.57394454381665	0.2
738.235	67.96840540260894	0.2
741.43	68.31849136907113	0.2
744.765	68.47275343385738	0.2
748.04	68.3292938672316	0.2
751.385	68.07787859584657	0.2
754.81	67.83831501505783	0.2
758.265	67.55640311213148	0.2
761.52	67.42759279585852	0.2
764.815	67.40385596711077	0.2
768.42	67.45385421853295	0.2
771.79	67.61005211424313	0.2
774.96	67.84549854548685	0.2
778.255	67.95530453417392	0.2
781.51	67.91025580219863	0.2
784.93	67.72952339312482	0.2
788.523	67.57356851673899	0.2
791.84	67.54866080451663	0.2
795.07	67.57869131029804	0.2
798.46	67.56344412725244	0.2
801.741	67.56978524916019	0.2
805.17	67.67051040140292	0.2
808.468	67.77039602336154	0.2
811.76	67.90309294678413	0.2
814.97	67.97120902695289	0.2
818.365	68.0147748080787	0.2
821.51	68.1242368228056	0.2
824.758	68.18300191096506	0.2
827.98	68.17459329507199	0.2
831.015	68.02870408679502	0.2
834.24	67.88888682786082	0.2
837.459	67.71158625706312	0.2
840.675	67.5179192493321	0.2
843.746	67.42690451521231	0.2
846.95	67.37415791221288	0.2
850.05	67.31927931547742	0.2
853.18	67.37559279978646	0.2
856.335	67.4823686365486	0.2
859.365	67.57094969971295	0.2
862.55	67.61910204134593	0.2
865.885	67.70932610587153	0.2
869.075	67.90170632410816	0.2
872.265	68.02723054955206	0.2
875.57	68.08354524205718	0.2
878.565	68.0475765658187	0.2
881.725	67.98568093206	0.2
884.94	67.95696634601143	0.2
888.12	68.00012221879432	0.2
891.254	68.03873836492158	0.2
894.32	68.08201860843683	0.2
897.49	68.13327255399498	0.2
900.665	68.26045034849936	0.2
903.75	68.31683274854694	0.2
906.895	68.17973837962222	0.2
910.07	68.07591677797308	0.2
913.203	68.06174118213623	0.2
916.245	68.02917048791686	0.2
919.245	68.07754041086471	0.2
