depth,sulfate
52.3428,125.42
52.3983,87.3
52.4538,74.31
52.5094,88.06
52.5649,107.56
52.6204,82.52
52.676,92.05
52.7315,88.7
52.859,98.26
52.916,88.82
52.973,98.02
53.03,82.92
53.087,97.34
53.159,109.76
53.216,81.51
53.273,110.46
53.33,126.65
53.387,97.27
53.444,102.45
53.501,103.83
53.558,111.95
53.615,85.29
53.672,113.2
53.729,104.26
53.786,122.99
53.843,134.71
53.924,151.87
53.9828,110.31
54.0415,143.46
54.1003,161.26
54.1591,135.4
54.2178,108.58
54.2806,98.1
54.3393,114.41
54.4011,110.54
54.4598,87.94
54.5186,72.56
54.5774,110.58
54.6361,104.58
54.6949,100.87
54.7536,95.0
54.8124,70.97
54.8711,125.19
54.9299,92.09
55.023,105.01
55.0789,121.87
55.1348,101.74
55.1907,94.13
55.2466,123.3
55.3025,150.18
55.3694,107.33
55.4253,102.61
55.4812,91.34
55.5371,102.65
55.593,96.67
55.6489,90.9
55.7048,101.86
55.7608,92.29
55.8167,94.72
55.8726,93.69
55.9285,102.72
55.9844,130.8
56.0403,124.19
56.1686,129.23
56.2262,148.22
56.2839,119.93
56.3415,145.69
56.3991,112.03
56.4568,112.38
56.5144,104.34
56.572,106.43
56.6297,102.05
56.6873,100.71
56.7449,93.61
56.8026,109.99
56.8602,100.31
56.9198,98.02
56.9775,116.86
57.0351,89.94
57.0927,69.58
57.1503,104.58
57.2302,94.48
57.2846,103.12
57.339,78.16
57.3934,76.54
57.4478,97.74
57.5022,89.22
57.5566,80.98
57.611,70.6
57.6654,123.99
57.7198,122.33
57.7802,123.8
57.8346,179.27
57.889,162.93
57.9434,130.5
57.9978,135.09
58.0522,122.56
58.1066,116.32
58.161,102.61
58.2154,109.37
58.2698,109.99
58.3554,109.64
58.4044,98.81
58.4534,91.78
58.5024,90.46
58.5514,91.78
58.6004,114.41
58.6494,110.07
58.6984,86.01
58.7634,125.77
58.8124,170.89
58.8614,139.05
58.9104,107.45
58.9594,128.81
59.0084,135.01
59.0574,107.29
59.1064,112.81
59.1554,126.54
59.2044,149.88
59.2534,109.64
59.3024,126.85
59.3514,107.56
59.4682,129.58
59.527,102.25
59.5858,118.96
59.6446,120.05
59.7034,130.88
59.7622,113.94
59.821,176.04
59.8798,152.21
59.9386,99.48
59.9975,118.69
60.0563,104.85
60.1151,101.34
60.1739,169.56
60.2427,239.17
60.3015,253.83
60.3603,291.19
60.4191,292.62
60.4779,213.27
60.5618,89.5
60.615,132.91
60.6682,113.94
60.7214,90.14
60.7745,111.05
60.8277,82.52
60.8809,130.15
60.934,106.66
60.9872,93.85
61.0404,91.78
61.0985,110.27
61.1517,109.99
61.2049,114.57
61.2581,102.37
61.3112,105.36
61.3644,113.98
61.4176,118.03
61.4707,90.26
61.5239,143.76
61.5771,99.4
61.637,104.81
61.685,147.24
61.733,119.23
61.781,132.07
61.829,113.47
61.877,116.79
61.925,84.81
61.973,96.03
62.021,138.86
62.087,134.75
62.135,81.99
62.183,89.1
62.231,116.2
62.279,119.74
62.327,121.32
62.375,134.75
62.423,100.2
62.471,104.38
62.519,114.49
62.567,102.01
62.615,99.48
62.663,101.62
62.7599,84.69
62.815,132.34
62.882,141.64
62.937,151.49
62.992,148.56
63.0471,116.28
63.1021,114.33
63.1571,138.71
63.2121,141.33
63.2712,130.96
63.3262,127.77
63.3812,117.25
63.4362,108.86
63.4913,86.82
63.5463,93.61
63.6013,107.41
63.6563,161.78
63.7244,146.94
63.7794,120.09
63.8581,71.7
63.9152,100.99
63.9723,110.19
64.0294,114.1
64.0865,148.63
64.1436,271.67
64.2007,324.42
64.2579,194.42
