#IGOR SMB Depth (m)	SMB_ie	error
727.4	0.017465317	0.2
727.9	0.018068626	0.2
728.61	0.017048438	0.2
729.68	0.017530674	0.2
733.37	0.01677925	0.2
733.61	0.021675656	0.2
733.81	0.019294467	0.2
734.4	0.021569609	0.2
734.97	0.01545655	0.2
735.63	0.017864233	0.2
737.53	0.01707896	0.2
744.11	0.014244506	0.2
744.47	0.017773551	0.2
746.01	0.019632575	0.2
746.27	0.017805869	0.2
746.75	0.02142689	0.2
750.22	0.020235305	0.2
751.55	0.024569118	0.2
751.97	0.019161005	0.2
752.19	0.019144188	0.2
753.16	0.017289446	0.2
755.51	0.019145784	0.2
756.93	0.02243978	0.2
758.31	0.021131697	0.2
759.15	0.022892774	0.2
760.44	0.020639561	0.2
762.38	0.022892391	0.2
763.76	0.021296116	0.2
767.55	0.018362028	0.2
767.89	0.028424736	0.2
768.09	0.017795155	0.2
769.04	0.019473032	0.2
772.97	0.016281953	0.2
775.39	0.014939313	0.2
776.61	0.02065914	0.2
778.97	0.016546643	0.2
784.22	0.018722222	0.2
786.14	0.01806834	0.2
787.8	0.020238945	0.2
789.43	0.017597656	0.2
791.17	0.018830634	0.2
792.49	0.018110249	0.2
796.07	0.01974793	0.2
799.67	0.018362523	0.2
800.59	0.016418834	0.2
800.91	0.020260568	0.2
801.51	0.014738502	0.2
801.91	0.018972237	0.2
802.43	0.017512302	0.2
804.17	0.01447147	0.2
805.88	0.015968643	0.2
807.55	0.016320261	0.2
808.71	0.017377683	0.2
810.91	0.017708742	0.2
812.14	0.017853361	0.2
814.41	0.018483591	0.2
815.09	0.01707845	0.2
816.03	0.018664134	0.2
817.31	0.016394268	0.2
817.61	0.016714481	0.2
818.55	0.020292542	0.2
819.1	0.018757574	0.2
821.02	0.017268604	0.2
826.47	0.013226279	0.2
827.63	0.017289474	0.2
829.11	0.016898108	0.2
830.92	0.019535174	0.2
831.73	0.014387974	0.2
832.67	0.015794674	0.2
834.61	0.015785221	0.2
836.74	0.015651569	0.2
837.69	0.01605063	0.2
842.17	0.015639674	0.2
843.43	0.015301411	0.2
844.48	0.015195786	0.2
844.82	0.016256957	0.2
846.4	0.016463732	0.2
847.25	0.015760784	0.2
848.43	0.017112726	0.2
849.81	0.017125137	0.2
852.62	0.016965522	0.2
854.95	0.016727296	0.2
855.54	0.016277755	0.2
856.53	0.019478547	0.2
857.96	0.020707641	0.2
858.99	0.019860144	0.2
860.61	0.020370365	0.2
861.33	0.020407933	0.2
863.11	0.02116708	0.2
864.06	0.016474405	0.2
864.99	0.017145968	0.2
865.41	0.019718478	0.2
866.93	0.01563859	0.2
867.63	0.022630143	0.2
867.87	0.020833179	0.2
874.21	0.016823118	0.2
875.67	0.022818408	0.2
877.06	0.018624198	0.2
878.73	0.01757051	0.2
879.79	0.019549119	0.2
880.4	0.018617798	0.2
883.54	0.014890219	0.2
885.19	0.015402504	0.2
886.58	0.015549624	0.2
886.89	0.01942552	0.2
887.76	0.016920662	0.2
889.94	0.0147354	0.2
890.59	0.01549523	0.2
896.68	0.016389921	0.2
897.95	0.017972707	0.2
903.16	0.018400176	0.2
905.03	0.0177699	0.2
906.76	0.017153926	0.2
909.22	0.016561707	0.2
911.25	0.016072923	0.2
912.91	0.015605719	0.2
916.21	0.017516463	0.2
919.19	0.016865361	0.2
920.23	0.016778034	0.2
921.41	0.0174624	0.2
922.64	0.014592916	0.2
924.26	0.023720229	0.2
924.44	0.01769937	0.2
925.13	0.020641335	0.2
927.44	0.020850565	0.2
929.41	0.01970837	0.2
929.81	0.018035921	0.2
